index,Наименование параметра,16Б05А
0,Основные параметры станка,
1,Класс точности,А
2,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",250
3,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",
4,"Наибольший диаметр заготовки устанавливаемой над суппортом, мм",145
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",500
6,"Высота центров над плоскими направляющими станины, мм",135
7,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",135
8,"Диаметр заготовки, устанавливаемой в патроне, мм",
9,"Диаметр заготовки, устанавливаемой в цанге, мм",
10,"Диаметр заготовки, устанавливаемой в люнете, мм",
11,"Показатели точности обработки образцов: круглость, мкм",
12,"Показатели шероховатости обработки образцов цветных металлов, мкм",
13,"Показатели шероховатости обработки образцов стали, мкм",
14,Коэффициент повышения производительности по сравнению со станком модели 16Б05А,
15,Шпиндель,
16,"Диаметр отверстия в шпинделе, мм",265
17,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",26
18,Центр шпинделя по ГОСТ 13214-67,Морзе 4
19,Конец шпинделя по ГОСТ 12593-72,4К
20,Число ступеней частот прямого вращения шпинделя,б/с регулирование
21,"Частота прямого вращения шпинделя, об/мин",25..2500
22,Торможение шпинделя,есть
23,Блокировка рукояток,
24,Суппорт. Подачи,
25,"Наибольшее продольное перемещение суппорта, мм",520
26,"Наибольшее поперечное перемещение суппорта, мм",160
27,"Перемещение суппорта поперечное на одно деление лимба, мм",002
28,Количество подач суппорта продольных,28
29,Количество подач суппорта поперечных,28
30,"Пределы подач суппорта продольных (в скобках - при использовании звена увеличения шага), мм/об","0,01..0,35 (0,01..2,8)"
31,"Пределы подач суппорта поперечных (в скобках - при использовании звена увеличения шага), мм/об","0,005..0,175 (0,005..1,4)"
32,"Шаги нарезаемых метрических резьб, мм",02..28
33,"Шаги нарезаемых модульных резьб, мод",01..14
34,"Шаги нарезаемых дюймовых резьб, ниток на дюйм",5..96
35,"Скорость быстрых перемещений, мм/мин",нет
36,Резцовые салазки,
37,"Наибольшая длина перемещения резцовых салазок, мм",150
38,"Перемещение резцовых салазок на одно деление лимба, мм",002
39,"Наибольший угол поворота резцовых салазок, град",±45°
40,"Цена деления шкалы поворота резцовых салазок, град",1°
41,"Наибольшее сечение державки резца, мм",16 х 16
42,"Высота от опорной поверхности резца до оси центров (высота резца), мм",16
43,Число резцов в резцовой головке,4
44,Задняя бабка,
45,"Диаметр пиноли, мм",
46,Конус отверстия пиноли задней бабки по ГОСТ 2847-67,Морзе 3
47,"Наибольшее перемещение пиноли, мм",85
48,"Перемещение пиноли на одно деление лимба, мм",002
49,"Перемещение пиноли на одно линейки, мм",1
50,"Величина поперечного смещения корпуса бабки, мм",±10
51,Электрооборудование,
52,"Количество электродвигателей, установленных на станке",3
53,"Электродвигатель главного привода, кВт",15
54,"Электродвигатель насоса гидростанции, кВт",075
55,"Электродвигатель насоса охлаждающей жидкости, кВт",012
56,"Суммарная мощность электродвигателей, установленных на станке, кВт",237
57,Габариты и масса станка,
58,"Габариты станка (длина ширина высота), мм",1530 х 910 х 1385
59,"Масса станка, кг",1365
