index,Наименование параметра,16Е16КП
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки над станиной, мм",360
3,"Наибольший диаметр заготовки над суппортом, мм",180
4,"Наибольшая длина заготовки (РМЦ), мм","750, 1000, 1500"
5,"Наибольшая длина обтачивания, мм",
6,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",185
7,"Высота оси центров над плоской частью станины (высота центров), мм",175
8,"Высота резца, устанавливаемого в резцедержателе, мм",25
9,Шпиндель,
10,"Диаметр сквозного отверстия в шпинделе, мм",45
11,"Наибольший диаметр прутка, мм",44
12,Число ступеней частот прямого вращения шпинделя,24
13,"Частота прямого вращения шпинделя, об/мин",20...2000
14,Число ступеней частот обратного вращения шпинделя,21
15,"Частота обратного вращения шпинделя, об/мин",20...2000
16,"Размер внутреннего конуса в шпинделе, М",Конус морзе 6
17,Конец шпинделя по ГОСТ 12593-72,6К
18,Торможение шпинделя,есть
19,Суппорт. Подачи,
20,"Наибольшее продольное перемещение суппорта от руки, по валику, по винту, мм",75010001500
21,"Наибольшее поперечное перемещение суппорта от руки, по винту, мм",220
22,Число ступеней продольных подач,
23,"Пределы продольных подач, мм/об",005...28
24,"Пределы поперечных подач, мм/об",0025...14
25,"Скорость быстрых перемещений суппорта, продольных, м/мин",5
26,"Скорость быстрых перемещений суппорта, поперечных, м/мин",25
27,"Продольное перемещение на одно деление лимба, мм",1
28,"Продольное перемещение на одно деление нониуса, мм",01
29,"Поперечное перемещение на одно деление лимба, мм",0025
30,"Продольное перемещение на один оборот лимба, мм",100
31,"Поперечное перемещение на один оборот лимба, мм",5
32,Количество нарезаемых резьб метрических,
33,"Пределы шагов нарезаемых резьб метрических, мм",025...56
34,Количество нарезаемых резьб дюймовых,
35,Пределы шагов нарезаемых резьб дюймовых,112...05
36,Количество нарезаемых резьб модульных,
37,Пределы шагов нарезаемых резьб модульных,025...56
38,Количество нарезаемых резьб питчевых,
39,Пределы шагов нарезаемых резьб питчевых,112...05
40,Предохранитель от перегрузки,есть
41,Блокировка продольных и поперечных подач,есть
42,Выключающие продольные упоры,есть
43,Верхний суппорт (резцовые салазки),
44,"Наибольшее перемещение верхнего суппорта, мм",120
45,"Перемещение на одно деление лимба, мм",002
46,"Перемещение на один оборот лимба, мм",2
47,"Наибольший угол поворота, град",±75°
48,"Цена деления шкалы поворота, град",1°
49,Задняя бабка,
50,"Наибольшее перемещение пиноли задней бабки, мм",120
51,"Цена деления линейки/ нониуса, мм","5/ 0,1"
52,Размер центра в пиноли по ГОСТ 13214-79,КМ 5
53,"Поперечное перемещение задней бабки, мм",±5
54,Электрооборудование,
55,Количество электродвигателей на станке,4
56,"Электродвигатель главного привода, кВт (об/мин)","7,5 (1500)"
57,"Привод ускоренных перемещений, кВт (об/мин)","0,37 (1500)"
58,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,12 (3000)"
59,"Электродвигатель станции смазки, кВт (об/мин)","0,12 (1500)"
60,"Габариты станка (РМЦ=1000), мм",2520 х 1110 х 1505
61,"Масса станка (РМЦ=1000), кг",2270
