index,Наименование параметра,16К20Ф3С8
0,Обозначение системы ЧПУ,1Н22-61
1,Основные параметры станка,
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",400
3,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",220
4,"Диаметр отверстия в шпинделе, мм",53
5,"Наибольшая длина обрабатываемого изделия, мм",1000
6,"Предельный диаметр сверления в стали, мм",25
7,"Предельный диаметр сверления в чугуне, мм",28
8,Шпиндель,
9,"Мощность двигателя главного движения, кВт",11
10,Количество рабочих скоростей шпинделя,22
11,"Пределы чисел оборотов шпинделя, об/мин",125...2000
12,Количество автоматически переключаемых скоростей,9
13,Диапазон автоматического переключения,16
14,"Диапазон скоростей шпинделя, устанавливаемый вручную, об/мин",Ряд I - 12.5..200Ряд II - 50..800Ряд III - 125..2000
15,Центр шпинделя передней бабки по ГОСТ 13214-67,7032 - 0043 Морзе №6
16,Центр пиноли задней бабки по ГОСТ 13214-67,7032 - 0045 Морзе №5
17,Конец шпинделя по ГОСТ 12593-72,6К
18,Подачи,
19,"Наибольшее перемещение суппорта: продольное / поперечное, мм",900/250
20,"Максимальная скорость продольной подачи при нарезании резьбы, мм/мин",2000
21,"Пределы шагов нарезаемых резьб, мм",001..40
22,"Диапазон скоростей продольных подач, мм/мин",1..2000
23,"Диапазон скоростей поперечных подач, мм/мин",1..2000
24,"Скорость быстрых продольных ходов, мм/мин",7500
25,"Скорость быстрых поперечных ходов, мм/мин",5000
26,Дискретность продольного перемещения,001
27,Дискретность поперечного перемещения,0005
28,"Высота резца, мм",25
29,Количество позиций на поворотной резцедержке (число инструментов в револьверной головке),6
30,Параметры системы ЧПУ,
31,Обозначение системы ЧПУ,1Н22-61
32,Число координат,2
33,Количество одновременно управляемых координат,2
34,"Разрешающая способность в продольном направлении (дискретность задания по оси Z), мм",0001
35,"Разрешающая способность в поперечном направлении (дискретность задания по оси X), мм",005
36,Тип датчика нулевого положения,КВД3-24
37,Тип датчика обратной связи,ВТ
38,Тип резьбонарезного датчика,ИГР
39,Электродвигатель главного привода,"А02-52-4СП43, М3014А132М443, М301"
40,"Мощность двигателя главного привода, кВт",11
41,"Суммарная мощность электродвигателей, кВт",20
42,"Суммарная мощность станка, кВт",22
43,Габариты и масса станка,
44,"Масса станка с ЧПУ, кг",5000
