index,Наименование параметра,16К30ФС333
0,Основные параметры станка,
1,Класс точности станка П по ГОСТ 8—77,П
2,Обозначение системы ЧПУ,НЦ-31
3,"Наибольший диаметр обрабатываемого изделия над станиной, мм",630
4,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",320
5,"Наибольшая длина обрабатываемого изделия, мм",1400
6,Шпиндель,
7,"Диаметр отверстия в шпинделе, мм",71
8,"Наибольший диаметр прутка проходящего через отверстие в шпинделе, мм",70
9,Количество скоростей шпинделя (обшее/ по программе),24/ 12
10,"Пределы оборотов шпинделя, об/мин",63..1250
11,Центр шпинделя по ГОСТ 13214-67,
12,Конец шпинделя по ГОСТ 12593-72,11М
13,"Наибольший крутящий момент на шпинделе, кгс*м",
14,Суппорт,
15,"Наибольшее перемещение суппорта: продольное/ поперечное, мм",1200/ 300
16,"Высота резца, устанавливаемого в резцедержателе, мм",32
17,"Количество инструментов, устанавливаемых в резцедержатель, мм","4, 8"
18,"Максимальная скорость продольной подачи при нарезании резьбы, мм/мин",2400
19,"Наибольшая величина подачи в режиме автоматического управления, мм/мин",2400
20,"Размеры нарезаемых метрических резьб, мм",001...2047
21,"Диапазон скоростей подач (продольных и поперечных), мм/мин",001...2047
22,"Скорость быстрых ходов (продольных/ поперечных), мм/мин",6000/ 5000
23,"Дискретность перемещения (продольного/ поперечного, мм",
24,"Наибольшая скорость в режиме ручного управления, мм/об",15
25,"Наибольшее усилие подачи (продольное/ поперечное), кН",15/ 5
26,Задняя бабка,
27,Центр шпинделя задней бабки по ГОСТ 13214-67,
28,"Наибольшее перемещение пиноли, мм",
29,"Наибольшее перемещение пиноли от гидроцилиндра, мм",
30,Параметры систем ЧПУ,
31,Обозначение системы ЧПУ,
32,Количество управляемых координат (всего/ одновременно,
33,Тип датчика нулевого положения,
34,Тип датчика обратной связи,
35,Электрооборудование и приводы станка,
36,Электросеть,
37,Количество электродвигателей на станке,
38,"Электродвигатель главного привода, кВт (об/мин)",22 (1460)
39,"Электродвигатель приводов подач, кВт (об/мин)","2,8/ 500"
40,"Электродвигатель резцедержки, кВт (об/мин)","0,5 (1415)"
41,"Электродвигатель станции смазки, кВт (об/мин)","1,5 (1440)"
42,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,12 (2800)"
43,"Суммарная мощность электродвигателей, кВт",
44,"Суммарная мощность станка, кВт",
45,Габариты и масса станка,
46,"Габариты станка (длина х ширина х высота), мм",5290 х 3470 х 2105
47,"Масса станка с ЧПУ, кг",7800
