index,Наименование параметра,16К50Ф3
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8—82,Н
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",1000
3,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",570
4,"Наибольшая длина обрабатываемого изделия (РМЦ), мм",2000
5,"Наибольшая масса обрабатываемого изделия, кг",8000
6,Количество управляемых осей (всего/ одновременно),2
7,Шпиндель,
8,"Диаметр отверстия в шпинделе, мм",105
9,"Наибольший диаметр прутка проходящего через отверстие в шпинделе, мм",100
10,"Пределы оборотов шпинделя, об/мин (количество скоростей)","2,5..500 (24)"
11,Конец шпинделя по ГОСТ 12593-72,
12,Размер центра в шпинделе по ГОСТ 18259-72,Метрич. 120
13,"Наибольший крутящий момент на шпинделе, кгс*м",1136
14,Суппорт,
15,"Наибольшее перемещение суппорта: продольное/ поперечное, мм",1845/ 600
16,"Высота резца, устанавливаемого в резцедержателе, мм",50
17,"Количество инструментов, устанавливаемых в резцедержатель, мм",4
18,"Размеры нарезаемых метрических резьб, мм",до 10
19,"Диапазон скоростей подач (продольных и поперечных), мм/мин",1..2500/ 1..2500
20,"Скорость быстрых ходов (продольных/ поперечных), м/мин","4,8/ 2,4"
21,"Дискретность задания перемещения (продольного/ поперечного, мм",
22,"Точность перемещения (продольного/ поперечного, мм",
23,"Наибольшее усилие подачи (продольное/ поперечное), кг",
24,Задняя бабка,
25,Центр шпинделя задней бабки по ГОСТ 13214-67,Морзе 6
26,"Наибольшее перемещение пиноли, мм",300
27,"Скорость перемещения пиноли, мм/мин",
28,"Скорость перемещения задней бабки, мм/мин",
29,Параметры систем ЧПУ,
30,Обозначение системы ЧПУ,ЭМ-907
31,Количество управляемых координат (всего/ одновременно),2
32,"Дискретность отсчета перемещений по осям X и Z, мм","0,01/ 0,005"
33,Электрооборудование и приводы станка,
34,Электросеть,"380/220 В,50 Гц"
35,Количество электродвигателей на станке,
36,"Электродвигатель главного привода, кВт (об/мин)",30 (1450)
37,"Электродвигатель приводов подач, кВт (об/мин)",
38,"Электродвигатель резцедержки, кВт (об/мин)","1,5 (1400)"
39,"Электродвигатель станции смазки, кВт (об/мин)",
40,"Электродвигатель смазки бабки шпиндельной, кВт (об/мин)",
41,"Электродвигатель смазки суппорта, кВт (об/мин)",001
42,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,15 (2800)"
43,"Электродвигатель привода продольного перемещения - крутящий момент, Нм (об/мин)",ШД5-Д1 с гидроусилителем
44,"Электродвигатель привода поперечного перемещения - крутящий момент, Нм (об/мин)",ШД5-Д1 с гидроусилителем
45,"Электродвигатель привода перемещения пиноли задней бабки, кВт (об/мин)",
46,"Электродвигатель привода перемещения задней бабки, кВт (об/мин)",
47,"Электродвигатель привода зажима задней бабки, кВт (об/мин)",
48,"Суммарная мощность электродвигателей, кВт",
49,"Суммарная мощность станка, кВт",
50,Габариты и масса станка,
51,"Габариты станка (длина х ширина х высота), мм",5055 х 2580 х 2100
52,"Масса станка с ЧПУ, кг",11500
