index,Наименование параметра,16Р25П
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",500
3,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",250
4,"Наибольшая длина устанавливаемой детали РМЦ, мм","750, 1000, 1500, 2000, 3000"
5,"Наибольшая длина обтачивания, мм","685, 935, 1435, 1935, 2935"
6,"Наибольшая масса обрабатываемого изделия в центрах, кг",650..1800
7,"Наибольшая масса обрабатываемого изделия в патроне, кг",300
8,"Высота центров над плоскими направляющими станины, мм",250
9,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",275
10,Шпиндель,
11,"Диаметр отверстия в шпинделе, мм",95
12,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",
13,"Частота вращения шпинделя в прямом направлении, об/мин",16..2000
14,"Частота вращения шпинделя в обратном направлении, об/мин",16..2000
15,Количество прямых скоростей шпинделя,22
16,Количество обратных скоростей шпинделя,11
17,Конец шпинделя по ГОСТ 12593-72,11М
18,Коническое отверстие шпинделя по ГОСТ 2847-67,Метрический 100
19,"Диаметр фланца шпинделя, мм",
20,"Наибольший крутящий момент на шпинделе, кНм",10
21,Суппорт. Подачи,
22,"Наибольшее поперечное перемещение суппорта, мм",300
23,"Наибольшая длина продольного перемещения суппорта (обтачивания), мм","685, 935, 1435, 1935, 2935"
24,"Диапазон продольных подач, мм/об (число ступеней)","0,05..2,8 (22)"
25,"Диапазон поперечных подач, мм/об",0025..14
26,Количество подач продольных/ поперечных,22/ 24
27,"Скорость быстрых перемещений продольных/ поперечных, м/мин","2/ 1,5"
28,"Пределы шагов метрических резьб, мм",05..112
29,"Пределы шагов дюймовых резьб, ниток/дюйм",56..05
30,"Пределы шагов модульных резьб, модуль",05..112
31,"Пределы шагов питчевых резьб, питч диаметральный",56..05
32,"Цена одного деления лимба продольного/ поперечного перемещения, мм/об","1/ 0,05"
33,"Наибольшее усилие, допускаемое механизмом подач продольное на резце/ на упоре, Н",5884/ 7845
34,"Наибольшее усилие, допускаемое механизмом подач поперечное на резце/ на упоре, Н",18500
35,Резцовые салазки,
36,"Наибольшая длина перемещения, мм",150
37,"Цена одного деления лимба, мм",005
38,"Наибольшее сечение державки резца, мм",25 х 25
39,Задняя бабка,
40,"Наибольшее перемещение пиноли, мм",150
41,"Цена одного деления лимба перемещения пиноли, мм",01
42,Коническое отверстие шпинделя по ГОСТ 2847-67,Морзе 5
43,"Величина поперечного смещения корпуса, мм",±15
44,Привод и электрооборудование станка,
45,Количество электродвигателей на станке,4
46,"Электродвигатель главного привода, кВт (об/мин)",11 (1460)
47,"Электродвигатель привода быстрого перемещения каретки и суппорта М2, кВт (об/мин)",037
48,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,12 (2800)"
49,"Электродвигатель гидростанции М4, кВт (об/мин)",
50,"Электродвигатель станции ВГ11, кВт (об/мин)",014
51,"Суммарная мощность установленных электродвигателей, кВт",1169
52,Габариты и масса станка,
53,"Габариты станка (длина ширина высота) РМЦ=1000, мм",2825 х 1345 х 1600
54,"Масса станка РМЦ=1000, кг",2700
