index,Наименование параметра,16Т03А
0,Основные параметры станка,
1,Класс точности,А
2,"Наибольший диаметр заготовки над станиной, мм",160
3,"Наибольший диаметр заготовки над суппортом, мм",90
4,"Высота центров, мм",86
5,"Наибольший размер заготовки в центрах (РМЦ), мм",250
6,"Высота от опорной поверхности резца до линии центров, мм",10
7,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
8,"Наибольшие размеры сечения державки резца, мм",10 х 10
9,Шпиндель,
10,"Диаметр сквозного отверстия в шпинделе, мм",15
11,"Наибольший диаметр прутка в патроне, мм",18
12,"Наибольший диаметр прутка в цанге, мм",10
13,Конус отверстия в шпинделе,Морзе 3
14,Число ступеней частот прямого вращения шпинделя,Б/ступ
15,"Частота вращения шпинделя, об/мин",80..4000
16,Торможение шпинделя,нет
17,Суппорт. Подачи,
18,"Наибольшее продольное перемещение суппорта, мм",250
19,"Перемещение суппорта продольное на одно деление лимба, мм",01
20,"Перемещение суппорта продольное на один оборот лимба, мм",-
21,"Наибольшее поперечное перемещение суппорта, мм",110
22,"Перемещение суппорта поперечное на одно деление лимба, мм",0025
23,"Перемещение суппорта поперечное на один оборот лимба, мм",2
24,Резцовые салазки,
25,"Наибольшее перемещение резцовых салазок, мм",100
26,"Перемещение резцовых салазок на одно деление лимба, мм",002
27,"Перемещение резцовых салазок на один оборот лимба, мм",2
28,"Угол поворота резцовых салазок, град",±45°
29,Задняя бабка,
30,"Диаметр пиноли, мм",35
31,Конус отверстия пиноли задней бабки,Морзе 2
32,"Наибольшее перемещение пиноли, мм",55
33,"Перемещение пиноли на одно деление линейки, мм",1
34,Электрооборудование,
35,"Электродвигатель главного привода, кВт (об/мин)","0,8 (1500)"
36,"Электродвигатель насоса СОЖ, кВт",0125
37,Габариты и масса станка,
38,"Габариты станка (длина ширина высота), мм",1210 х 725 х 1190
39,"Масса станка, кг",580
