index,Наименование параметра,16У04П
0,Основные параметры станка,
1,Класс точности,П
2,"Наибольший диаметр заготовки над станиной, мм",200
3,"Наибольший диаметр заготовки над суппортом, мм",118
4,"Высота центров, мм",108
5,"Наибольший заготовки в центрах (РМЦ), мм",350
6,"Наибольшая высота держателя резца, мм",
7,"Высота от опорной поверхности резца до линии центров, мм",12
8,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",110
9,"Наибольшие размеры сечения державки резца, мм",12 х 12
10,Шпиндель,
11,"Диаметр сквозного отверстия в шпинделе, мм",202
12,"Наибольший диаметр прутка в патроне, мм",20
13,"Наибольший диаметр прутка в цанге, мм",10
14,Конус отверстия в шпинделе,Морзе 3
15,Число ступеней частот прямого вращения шпинделя,Б/ступ
16,"Частота прямого вращения шпинделя, об/мин",70..3500
17,Число ступеней частот обратного вращения шпинделя,Б/ступ
18,"Частота обратного вращения шпинделя, об/мин",70..3500
19,Торможение шпинделя,нет
20,Блокировка рукояток,нет
21,Суппорт. Подачи,
22,"Наибольшее продольное перемещение суппорта, мм",350
23,"Перемещение суппорта продольное на одно деление лимба, мм",05
24,"Перемещение суппорта продольное на один оборот лимба, мм",100
25,"Наибольшее поперечное перемещение суппорта, мм",135
26,"Перемещение суппорта поперечное на одно деление лимба, мм",0025
27,"Перемещение суппорта поперечное на один оборот лимба, мм",2
28,"Наибольшее перемещение резцовых салазок, мм",120
29,"Перемещение резцовых салазок на одно деление лимба, мм",002
30,"Перемещение резцовых салазок на один оборот лимба, мм",2
31,"Угол поворота резцовых салазок, град",±45°
32,Число ступеней продольных подач суппорта при постоянной настройке гитары,4
33,"Пределы продольных рабочих подач суппорта, мм/об",004..032
34,"Пределы рабочих поперечных подач суппорта, мм/об",нет
35,"Диаметр ходового вала, мм",18
36,"Диаметр и шаг ходового винта, мм",26 х 5
37,Количество нарезаемых резьб метрических,
38,"Пределы шагов нарезаемых резьб метрических, мм",025..3
39,Пределы шагов нарезаемых резьб дюймовых,80..10
40,Пределы шагов нарезаемых резьб модульных,01..125
41,Пределы шагов нарезаемых резьб питчевых,нет
42,Задняя бабка,
43,"Диаметр пиноли, мм",35
44,Конус отверстия пиноли задней бабки,Морзе 2
45,"Наибольшее перемещение пиноли, мм",70
46,"Перемещение пиноли на одно деление линейки, мм",1
47,"Перемещение пиноли на одно деление лимба, мм",
48,"Поперечное смещение задней бабки, мм",
49,Электрооборудование,
50,"Электродвигатель главного привода, кВт (об/мин)","0,8 (1370)"
51,"Электродвигатель насоса СОЖ, кВт",0125
52,Габариты и масса станка,
53,"Габариты станка (длина ширина высота), мм",1380 х 730 х 1250
54,"Масса станка, кг",750
