index,Наименование параметра,1716ПФ4
0,Основные параметры станка,
1,"Наибольший диаметр устанавливаемого изделия над станиной, мм",360
2,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",160
3,"Наибольшая длина изделия устанавливаемого в центрах (РМЦ), мм",750
4,Шпиндель,
5,Количество рабочих скоростей шпинделя,б/с
6,"Пределы чисел оборотов шпинделя, об/мин",10..4000
7,"Пределы чисел оборотов шпинделей приводного инструмента, об/мин",5..2000
8,"Диаметр отверстия в шпинделе, мм",63
9,Центр шпинделя передней бабки по ГОСТ 13214-67,Морзе №6
10,Центр пиноли задней бабки по ГОСТ 13214-67,Морзе №5
11,Конец шпинделя по ГОСТ 12593-72,6К
12,"Наибольший крутящий момент на шпинделе не менее, Нм (кгс*м)",320
13,Суппорт. Подачи,
14,"Наибольшее перемещение суппорта продольное (Z), мм",760
15,"Наибольшее перемещение суппорта поперечное (X), мм",230
16,"Пределы шагов нарезаемых резьб, мм",
17,"Диапазон скоростей продольных подач, мм/мин (мм/об)","20..5000 (0,01..20)"
18,"Диапазон скоростей поперечных подач, мм/мин (мм/об)","10..2500 (0,005..10)"
19,"Скорость быстрых продольных перемещений (Z), м/мин",10
20,"Скорость быстрых поперечных перемещений (X), м/мин",5
21,"Высота резца, мм",25
22,Количество позиций на поворотной резцедержке (число инструментов в револьверной головке),12
23,"Наибольшее усилие резания, Н",8000
24,Параметры системы ЧПУ,
25,Обозначение системы ЧПУ,Электроника МС2101.05
26,Число управляемых координат,"3 (X, Z, C)"
27,Количество одновременно управляемых координат,"2 (X, Z)"
28,Дискретность задания координат в продольном направлении (дискретность задания по оси Z),0001
29,Дискретность задания координат в поперечном направлении (дискретность задания по оси X),00005
30,"Пределы программируемых подач продольных/ поперечных, мм/об",001..20
31,"Пределы программируемых подач поперечных, мм/об",0005..10
32,"Точность заданного перемещения по оси X, мм",0008
33,"Точность заданного перемещения по оси Z, мм",0012
34,"Точность заданного перемещения по оси C, град",00347
35,Электрооборудование станка,
36,"Электродвигатель главного привода, кВт",11
37,"Электродвигатель продольных подач - номинальный крутящий момент, Нм (кгс*м)",23
38,"Электродвигатель поперечных подач - номинальный крутящий момент, Нм (кгс*м)",23
39,"Электродвигатель станции смазки каретки, кВт",
40,"Электродвигатель станции смазки шпиндельной бабки, кВт",
41,"Электродвигатель насоса охлаждения, кВт",012
42,"Электродвигатель координаты С, кВт",10
43,"Электродвигатель инструментальной головки, кВт",21
44,"Суммарная мощность электродвигателей, кВт",21
45,"Суммарная мощность станка, кВт",215
46,Габариты и масса станка,
47,"Габаритные размеры станка с ЧПУ (длина, ширина, высота), мм",3600 х 1690 х 2300
48,"Масса станка с ЧПУ, кг",4150
