index,Наименование параметра,1А512МФ3
0,Основные параметры,
1,"Наибольший диаметр изделия, мм",1450
2,"Наибольшая высота обрабатываемого изделия, мм",1000
3,"Диаметр планшайбы, мм",1120
4,"Диаметр центрирующего отверстия в планшайбе, мм",150Н7
5,"Наибольшая масса устанавливаемого изделия при 5—80 оборотах планшайбы в минуту, кг",10000
6,"Расстояние от основания станка до рабочей поверхности планшайбы, мм",1000
7,"расточной ползун сечением, мм",210 x 210
8,Вертикальный суппорт,
9,"Наибольшее горизонтальное перемещение суппорта, мм",1350
10,"Наибольшее вертикальное перемещение, мм",800
11,"Диаметр отверстий револьверной головки суппорта, мм",70А
12,"Наибольшая высота сечения державки резца по СТ СЭВ 153-75, мм",50
13,"Конусное отверсте под инструмент в расточной оправке, мм",Морзе 6
14,Количество резцедержателей в магазине инструментов,10
15,Поперечина,
16,"Наибольшее перемещение, мм",820
17,"Скорость перемещения, мм/мин",400
18,Механика станка,
19,Число скоростей планшайбы,Б/с
20,"Число оборотов планшайбы в минуту, об/мин",1..335
21,Число подач суппортов,Б/с
22,"Скорость рабочей подачи суппорта, мм/мин",01..1000
23,"Наибольшее допускаемое усилие резания суппортом, кН",50
24,"Скорость установочных перемещений вертикального суппорта, мм/мин",5000
25,"Наибольший допустимый крутящий момент на планшайбе, кН*м",28
26,Привод и электрооборудование станка,
27,Род тока питающей электросети,"380 В, 50 Гц"
28,"Электродвигатель постоянного тока привода главного движения, кВт (Номинальная/максимальная частота вращения, об/мин)",55 (600/1800)
29,"Электродвигатель постоянного тока привода подач, Н*м (Номинальная/максимальная частота вращения, об/мин)",47 (750/ 1000)
30,"Электродвигатель перемещения поперечины, кВт (об/мин)","7,5 (1500)"
31,"Электродвигатель установки поперечины, кВт (об/мин)",3 (1500)
32,"Электродвигатель зажима инструмента, кВт (об/мин)","1,1 (1000)"
33,"Электродвигатель гидростанции, кВт (об/мин)","2,2 (1000)"
34,"Суммарная мощность всех электродвигателей на станке, кВт",71
35,Система ЧПУ (возможна замена на другое УЧПУ),
36,Тип УЧПУ,"БОШ CNC ""Альфа-2"""
37,Количество одновременно работающих координат,2
38,Программоноситель,Перфолента
39,Габарит и масса станка,
40,"Габарит станка (длнна х ширина х высота), мм",5250 х 5320 х 5000
41,"Масса станка, кг",23650
