index,Наименование параметра,1Б811
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки, обрабатываемой над станиной, мм",240
3,"Наибольший диаметр заготовки, обрабатываемой над суппортом, мм",
4,"Наибольшая длина заготовки, обрабатываемой в центрах (РМЦ), мм",710
5,Шпиндель,
6,"Диаметр сквозного отверстия в шпинделе, мм",
7,Число ступеней частот прямого вращения шпинделя,10
8,"Частота вращения шпинделя в прямом направлении, об/мин",28..63
9,"Частота вращения шпинделя в обратном направлении, об/мин",56..125
10,"Размер внутреннего конуса в шпинделе, М",
11,Конец шпинделя фланцевого по ГОСТ 12593-72,
12,Суппорт. Подачи,
13,"Наибольшее перемещение продольной каретки суппорта, мм",
14,"Наибольшее перемещение поперечной каретки суппорта, мм",
15,"Наибольшая высота резца, мм",
16,Число ступеней продольных подач,
17,"Пределы рабочих подач продольных, мм/об",01..1
18,Число ступеней поперечных подач,
19,"Пределы рабочих подач поперечных, мм/об",
20,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
21,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
22,Количество нарезаемых резьб метрических,
23,"Пределы шагов метрических резьб, мм",05..240
24,Количество нарезаемых резьб дюймовых,
25,"Пределы шагов дюймовых резьб, ниток/дюйм",3/16..10
26,Количество нарезаемых резьб модульных,
27,"Пределы шагов модульных резьб, модуль",04..80
28,Количество нарезаемых резьб питчевых,нет
29,Пределы шагов нарезаемых резьб питчевых,
30,Затылование,
31,"Наибольший ход затылования, мм",18
32,"Наибольшая длина затылования, мм",550
33,Количество величин ходов затылования,б/с
34,Число обрабатываемых зубьев,1..40
35,"Пределы шагов спиральных (винтовых) канавок при затыловании, мм",75..10000
36,Задняя бабка,
37,"Диаметр пиноли задней бабки, мм",
38,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,
39,"Наибольшее перемещение пиноли, мм",
40,"Перемещение пиноли на одно деление лимба, мм",
41,"Величина поперечного смещения корпуса бабки, мм",
42,Электрооборудование,
43,Количество электродвигателей на станке,
44,"Электродвигатель главного привода, кВт (об/мин)","3,0; 4,5 (700; 1400)"
45,"Электродвигатель шлифовального приспособления, кВт",11
46,"Электродвигатель быстрых перемещений, кВт",
47,"Электродвигатель насоса охлаждения, кВт",
48,Габариты и масса станка,
49,"Габариты станка (длина ширина высота), мм",2850 х 1500 х 1800
50,"Масса станка, кг",
