index,Наименование параметра,1В340Ф30
0,Основные параметры станка,
1,Обозначение системы ЧПУ,НЦ-31
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",400
3,"Наибольший диаметр обрабатываемого прутка на переднем зажиме, мм",50
4,"Наибольший диаметр обрабатываемого прутка в зажимной и подающей трубе, мм",40
5,"Диаметр отверстия в шпинделе, мм",
6,"Наибольшая длина изделия устанавливаемого в центрах (РМЦ), мм",120
7,Шпиндель,
8,"Мощность двигателя главного движения, кВт",6
9,Количество рабочих скоростей шпинделя,12
10,"Пределы чисел оборотов шпинделя, об/мин",45...2000
11,"Частота вращения шпинделя в I диапазоне, об/мин",45...1400
12,"Частота вращения шпинделя во II диапазоне, об/мин",63...2000
13,"Пределы чисел оборотов шпинделя (обратное вращение), об/мин",45...250
14,Конец шпинделя фланцевый по ГОСТ 12595-75,1-6Ц
15,"Наибольший крутящий момент на шпинделе не менее, Нм (кг*м)",40
16,Подачи,
17,"Наибольшее перемещение револьверного суппорта: продольное (Z) / поперечное (X), мм",310/ 110
18,"Диапазон скоростей продольных и поперечных подач револьверного суппорта, мм/мин",1..2500
19,Число подач револьверного суппорта,б/с
20,"Скорость быстрых продольных/ поперечных ходов, м/мин",10/ 5
21,"Диапазон скоростей продольных и поперечных подач отрезного суппорта, мм/мин",5..600
22,Число подач отрезного суппорта,б/с
23,"Скорость быстрых ходов отрезного суппорта, м/мин",8
24,Количество позиций (инструментов) в револьверной головке,8
25,"Наибольшее усилие продольных/ поперечных подач, кгс",600/ 300
26,Параметры системы ЧПУ,
27,Обозначение системы ЧПУ,НЦ-31
28,Число координат,2
29,Количество одновременно управляемых координат,2
30,"Дискретность задания координат в продольном/ поперечном направлении (дискретность задания по оси Z, X)",0001
31,Электрооборудование станка,
32,"Количество электродвигателей на станке, кВт",6
33,"Электродвигатель главного привода, кВт",6
34,"Электродвигатель продольных подач, кВт",15
35,"Электродвигатель поперечных подач, кВт",15
36,"Электродвигатель станции смазки, кВт",037
37,"Электродвигатель гидростанции, кВт",22
38,"Электродвигатель насоса охлаждения, кВт",012
39,"Электродвигатель инструментальной головки, кВт",
40,"Суммарная мощность электродвигателей, кВт",1169
41,"Суммарная мощность станка, кВт",
42,Габариты и масса станка,
43,"Габаритные размеры станка с ЧПУ (длина, ширина, высота), мм",2840 1770 1670
44,"Масса станка с ЧПУ, кг",3600
