index,Наименование параметра,1Д63А
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки над станиной, мм",615
3,"Наибольший диаметр заготовки над суппортом, мм",345
4,"Высота центров, мм",300
5,"Наибольшая длина заготовки (РМЦ), мм","1500, 3000"
6,"Наибольшая длина обточки, мм","1310, 2810"
7,"Наибольшие размеры резца, мм",30 х 30
8,"Высота от опорной поверхности резца до линии центров, мм",325
9,"Наибольшее расстояние от линии центров до кромки резцедержателя, мм",325
10,Шпидель,
11,"Диаметр сквозного отверстия в шпинделе, мм",70
12,"Наибольший диаметр прутка, мм",68
13,Число ступеней частот прямого вращения шпинделя,18
14,"Частота прямого вращения шпинделя, об/мин",14..750
15,Число ступеней частот обратного вращения шпинделя,18
16,"Частота обратного вращения шпинделя, об/мин",22..945
17,"Размер внутреннего конуса в шпинделе, М",Морзе 5
18,Конец шпинделя,М120 х 6
19,Торможение шпинделя,есть
20,Подачи,
21,"Наибольшая длина хода каретки от руки, мм","1510, 3010"
22,"Наибольшая длина хода каретки по валику, мм","1310, 2810"
23,"Наибольшая длина хода каретки по винту, мм","1310, 2810"
24,Число ступеней продольных подач,26
25,"Пределы рабочих подач продольных, мм/об",015..265
26,Число ступеней поперечных подач,26
27,"Пределы рабочих подач поперечных, мм/об",005..09
28,"Поперечное перемещение на одно деление лимба, мм",005
29,"Перемещение резцовых салазок на одно деление лимба, мм",005
30,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
31,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
32,Количество нарезаемых резьб метрических,
33,"Пределы шагов нарезаемых резьб метрических, мм",1..224
34,Количество нарезаемых резьб дюймовых,
35,Пределы шагов нарезаемых резьб дюймовых,2..28
36,Количество нарезаемых резьб модульных,
37,Пределы шагов нарезаемых резьб модульных,"0,25п.. 56п"
38,Количество нарезаемых резьб питчевых,нет
39,Пределы шагов нарезаемых резьб питчевых,нет
40,Задняя бабка,
41,Конус,Морзе 5
42,"Наиболшее перемещение пиноли, мм",205
43,"Поперечное смещение, мм",±15
44,Электрооборудование,
45,Количество электродвигателей на станке,2
46,"Мощность электродвигателя главного привода, кВт",10
47,"Мощность электродвигателя насоса охлаждения, кВт",012
48,Насос охлаждения (помпа),ПА-22
49,Габариты и масса станка,
50,"Габариты станка (длина ширина высота), мм",3610 х 1690 х 12755110 х 1690 х 1275
51,"Масса станка, кг",3920
