index,Наименование параметра,1И611ПМФ3
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",320
3,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",125
4,"Наибольшая длина обрабатываемого изделия в центрах, мм",500
5,"Наибольшая длина обрабатываемого изделия в патроне, мм",
6,"Наибольшее сечение резца, устанавливаемого в пазах инструментальной головки, мм",20 х 20
7,Количество сменяемого по программе инструмента,4
8,Шпиндель,
9,"Диапазон скоростей шпинделя, переключаемых по программе, об/мин",50..2000
10,"Количество скоростей шпинделя, устанавливаемый вручную, об/мин",16
11,"Количество рабочих скоростей шпинделя, переключаемых по программе",8
12,"Диаметр отверстия в шпинделе, мм",25
13,Размер внутреннего конуса шпинделя передней бабки по ГОСТ 25557-82,-
14,Центр в шпинделе передней бабки по ГОСТ 13214-79 (7032-0029),Морзе 4
15,Конец шпинделя по ГОСТ 12593-72,4К
16,"Наибольший крутящий момент на шпинделе, Нм",
17,"Предельный диаметр сверления по стали/ чугуну, мм",
18,Торможение шпинделя,имеется
19,Реверсирование шпинделя по программе,имеется
20,"Диаметр стандартного патрона, мм",160(СТ 160В-Ф4)
21,Суппорт. Подачи,
22,"Наибольшее перемещение продольной каретки суппорта, мм",
23,"Наибольшее перемещение поперечной каретки суппорта, мм",
24,"Диапазон скоростей продольных подач при работе по одной координате, мм/мин",3..3600
25,"Диапазон скоростей поперечных подач при работе по одной координате, мм/мин",15..1800
26,"Диапазон скоростей продольных подач при работе по двум координатам, мм/мин",3..1800
27,"Диапазон скоростей поперечных подач при работе по двум координатам, мм/мин",15..900
28,"Скорость быстрых (установочных) продольных перемещений суппорта, м/мин",
29,"Скорость быстрых (установочных) поперечных перемещений суппорта, м/мин",
30,"Предельные значения шагов нарезаемых цилиндрических резьб, мм",02..60
31,"Точность позиционирования по диаметру (оси X), мм",005
32,"Точность позиционирования по длине (оси Z), мм",01
33,Количество позиций на поворотной резцедержке (число инструментов в револьверной головке),4
34,Задняя бабка,
35,"Наибольшее перемещение пиноли задней бабки, мм",85
36,Размер внутреннего конуса в пиноли задней бабки по ГОСТ 25557-82,-
37,Центр в шпинделе передней бабки по ГОСТ 13214-79 (7032-0029),Морзе 3
38,"Цена деления лимба, мм",005
39,Параметры системы ЧПУ,
40,Обозначение системы ЧПУ,Маяк 221
41,Число координат,
42,Количество одновременно управляемых координат,
43,"Дискретность задания перемещения в продольном направлении (дискретность задания по оси Z), мм",
44,"Дискретность задания перемещения в поперечном направлении (на радиус) (дискретность задания по оси X), мм",
45,Тип датчика обратной связи в приводе подач,
46,Тип резьбонарезного датчика,
47,Электрооборудование. Привод,
48,Количество электродвигателей на станке,6
49,"Электродвигатель привода главного движения, кВт","3,0 (М1)"
50,"Электродвигатель привода продольных подач, кВт","0,48 (М5)"
51,"Электродвигатель привода поперечных подач, кВт","0,48 (М6)"
52,"Электродвигатель револьверной головки, кВт",-
53,"Электродвигатель привода пиноли задней бабки, кВт",-
54,"Электродвигатель гидростанции, кВт","3,0 (М4)"
55,"Электродвигатель станции смазки шпинделя, кВт",
56,"Электродвигатель станции смазки узлов станка, кВт",
57,"Электродвигатель обдува привода главного движения, кВт",
58,"Электродвигатель насоса охлаждения, кВт","0,12 (М3)"
59,Габариты и масса станка,2900 х 1700 х 1700
60,"Масса станка с ЧПУ, кг",1400
