index,Наименование параметра,1ИС611В
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольший диаметр заготовки над станиной, мм",250
3,"Наибольший диаметр заготовки над суппортом, мм",125
4,"Наибольшая длина заготовки (РМЦ), мм",500
5,"Высота центров, мм",130
6,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",130
7,Шпидель,
8,"Диаметр сквозного отверстия в шпинделе, мм",25
9,"Наибольший диаметр прутка, мм",24
10,Число ступеней частот прямого вращения шпинделя,21
11,"Частота прямого вращения шпинделя, об/мин",25..2500
12,Число ступеней частот обратного вращения шпинделя,21
13,"Частота обратного вращения шпинделя, об/мин",25..2500
14,"Размер внутреннего конуса в шпинделе, М",Морзе 4
15,Конец шпинделя по ГОСТ 12593-72,4
16,Суппорт. Подачи,
17,"Наибольшее продольное перемещение (длина хода каретки; длина обточки) по валику и по винту, мм",500
18,"Наибольшие размеры державки резцов, мм",16 х 16
19,"Высота от опорной поверхности резца до линии центров, мм",16
20,"Цена деления лимба при продольном перемещении, мм",01
21,"Цена деления лимба при поперечном перемещении, мм",001
22,Число ступеней продольных подач,25
23,"Пределы рабочих подач продольных, мм/об",001..30
24,Число ступеней поперечных подач,
25,"Пределы рабочих подач поперечных, мм/об",
26,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
27,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
28,"Пределы шагов нарезаемых резьб метрических, мм",02..48
29,Пределы шагов нарезаемых резьб дюймовых,24..05
30,Пределы шагов нарезаемых резьб модульных,02..30
31,Пределы шагов нарезаемых резьб питчевых,нет
32,Резьбоуказатель,нет
33,Защита от перегрузки,есть
34,Блокировка,есть
35,Выключающие упоры,есть
36,Быстрое перемещение,нет
37,Резцовые салазки,
38,"Наибольший угол поворота, град",160
39,"Цена деления шкалы поворота, град",1
40,"Наибольшее перемещение резцовых салазок (верхнего суппорта), мм",120
41,"Цена деления лимба перемещения резцовых салазок, мм",005
42,Задняя бабка,
43,Конус,Морзе 3
44,"Наибольшее перемещение пиноли, мм",85
45,"Цена деления линейки перемещения пиноли, мм",1
46,"Цена деления лимба перемещения пиноли, мм",005
47,"Поперечное смещение, мм",±10
48,Электрооборудование,
49,Количество электродвигателей на станке,3
50,"Электродвигатель главного привода, кВт",3
51,Тип электродвигателя главного привода,4А100S4
52,"Электродвигатель быстрых перемещений, кВт",нет
53,"Электродвигатель насоса смазки, кВт",009
54,"Электродвигатель насоса охлаждения, кВт",012
55,Габариты и масса станка,
56,"Габариты станка (длина ширина высота), мм",1880 х 830 х 1339
57,"Масса станка, кг",1200
