index,Наименование параметра,1К625Д
1,Основные параметры,
2,Класс точности по ГОСТ 8-82,Н
3,"Наибольший диаметр заготовки над станиной, мм",500
4,"Наибольший диаметр заготовки над суппортом, мм",290
5,"Наибольший диаметр заготовки над выемкой, мм",-
6,"Наибольшая длина заготовки (РМЦ), мм",100015002000
7,"Наибольшая масса заготовки в патроне, кг",300
8,"Наибольшая масса заготовки в центрах, кг",1300
9,Шпиндель,
10,"Диаметр сквозного отверстия в шпинделе, мм",55
11,"Наибольший диаметр прутка, мм",
12,Число ступеней частот прямого вращения шпинделя,23
13,"Частота прямого вращения шпинделя, об/мин",125..2000
14,Число ступеней частот обратного вращения шпинделя,12
15,"Частота обратного вращения шпинделя, об/мин",19..2420
16,"Размер внутреннего конуса в шпинделе, М",Морзе 6
17,Конец шпинделя по ГОСТ 12593-72,6К
18,"Наибольший крутящий момент, кНм",2
19,Подачи,
20,"Наибольшая длина хода каретки, мм",93014301930
21,Число ступеней продольных и поперечных подач,42
22,"Пределы продольных подач, мм/об",007..416
23,"Пределы поперечных подач, мм/об",0035..208
24,"Скорость быстрых перемещений суппорта, продольных, м/мин",45
25,"Скорость быстрых перемещений суппорта, поперечных, м/мин",225
26,Количество нарезаемых резьб метрических,45
27,"Пределы шагов нарезаемых резьб метрических, мм",05..192
28,Количество нарезаемых резьб дюймовых,28
29,"Пределы шагов нарезаемых резьб дюймовых, ниток на дюйм",24..15/8
30,Количество нарезаемых резьб модульных,38
31,Пределы шагов нарезаемых резьб модульных,05..48
32,Количество нарезаемых резьб питчевых,37
33,Пределы шагов нарезаемых резьб питчевых,96..1
34,Количество нарезаемых резьб архимедовой спирали,5
35,Пределы шагов нарезаемых резьб архимедовой спирали,"3/8"",7/16""8.10"
36,Суппорт,
37,"Цена деления лимба продольного перемещения, мм",01
38,"Наибольшее перемещение салазок, мм",140
39,"Цена деления лимба резцовых салазок, мм",005
40,Задняя бабка,
41,"Цена деления лимба, мм",01
42,Размер внутреннего конуса пиноли,Морзе 5
43,"Наибольшее перемещение пиноли, мм",200
44,"Поперечное смещение корпуса задней бабки, мм",±15
45,Электрооборудование,
46,Количество электродвигателей на станке,3
47,"Мощность электродвигателя главного привода, кВт",11
48,"Частота вращения, об/мин",1500
49,"Мощность электродвигателя быстрых перемещений, кВт",075
50,"Частота вращения, об/мин",1500
51,"Мощность электродвигателя насоса охлаждения, кВт",012
52,"Мощность всех электродвигателей, кВт",1187
53,Габариты и масса станка,
54,"Габариты станка при РМЦ=1000, мм",2786 х1221 х1500
55,"Масса станка при РМЦ=1000, кг",3120
