index,Наименование параметра,1М61П
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки над станиной, мм",320
3,"Наибольший диаметр заготовки над суппортом, мм",160
4,"Наибольшая длина заготовки (РМЦ), мм",710
5,"Наибольшая длина обтачивания, мм",640
6,"Высота центров, мм",170
7,"Наибольшее рассояние от оси центров до кромки резцедержателя, мм",180
8,"Высота резца, установленного в резцедержателе, мм",25
9,Шпиндель,
10,"Диаметр сквозного отверстия в шпинделе, мм",35
11,"Наибольший диаметр прутка, проходящего через отверстие в шпинделе мм",32
12,Число ступеней частот прямого и обратного вращения шпинделя,24
13,"Частота прямого и обратного вращения шпинделя, об/мин",125...1600
14,Размер внутреннего конуса в шпинделе по ГОСТ 13214-67,М5
15,Конец шпинделя по ГОСТ 12593-72,6К
16,Торможение шпинделя,есть
17,Подачи,
18,"Наибольшее продольное перемещение каретки суппорта, мм",600
19,"Наибольшее поперечное перемещение суппорта, мм",200
20,"Наибольшее перемещение верхнего суппорта (резцовых салазок), мм",120
21,"Цена деления лимба верхнего суппорта (резцовых салазок), мм",005
22,Число ступеней продольных и поперечных подач,17
23,"Пределы скорости продольных подач, мм/об",008...12
24,"Пределы скорости поперечных подач, мм/об",004...06
25,"Скорость быстрых перемещений суппорта, продольных/ поперечных, м/мин",нет
26,Количество нарезаемых резьб метрических,13
27,"Пределы шагов нарезаемых резьб метрических, мм",05..6
28,Количество нарезаемых резьб дюймовых,16
29,Пределы шагов нарезаемых резьб дюймовых,35...48
30,Количество нарезаемых резьб модульных,10
31,Пределы шагов нарезаемых резьб модульных,025...3
32,Количество нарезаемых резьб питчевых,16
33,Пределы шагов нарезаемых резьб питчевых,7...96
34,Предохранитель от перегрузки,
35,Блокировка продольных и поперечных подач,
36,Выключающие продольные упоры,
37,"Шероховатость поверхности заготовки из конструкционной стали при чистовом обтачивании, мкм, не более",
38,Задняя бабка,
39,"Наибольшая длина перемещения пиноли задней бабки, мм",100
40,"Наибольшее перемещение задней бабки, мм",±12
41,Центр в пиноли задней бабки,Морзе 4
42,Электрооборудование,
43,Количество электродвигателей на станке,2
44,"Электродвигатель главного привода, кВт",4
45,"Электродвигатель насоса охлаждения, кВт",012
46,Габариты и масса станка,
47,"Габариты станка (длина ширина высота), мм",2055 х 1095 х 1450
48,"Масса станка, кг",1260
