index,Наименование параметра,2056
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления в стали σ = 50..60 кг*мм2, мм",-
2,"Наибольший диаметр нарезаемой резьбы, мм",М18
3,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",0..650
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",200
5,Рабочий стол,
6,"Размеры рабочей поверхности стола (длина х ширина), мм",320 х 360
7,Число Т-образных пазов Размеры Т-образных пазов,3
8,"Наибольшее вертикальное перемещение стола (ось Z), мм",350
9,"Перемещение стола на один оборот рукоятки, мм",24
10,Шпиндель,
11,"Наибольшее перемещение шпиндельной головки по колонне, мм",300
12,"Наибольшее осевое перемещение шпинделя, мм",150
13,"Перемещение шпиндельной головки на один оборот маховичка, мм",-
14,"Перемещение шпинделя на одно деление лимба, мм",-
15,"Перемещение шпинделя на один оборот маховичка-рукоятки, мм",-
16,"Частота вращения шпинделя, об/мин (количество скоростей)","112, 180, 280, 450, 710, 1120 (6)"
17,"Наибольший допустимый крутящий момент, кг*см",
18,Конус шпинделя,Морзе 2
19,Механика станка,
20,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм (число подач)","0,5..3,5 (12)"
21,"Шаг нарезаемой резьбы, мм","1,00; 1,25; 1,50; 1,75; 2,00; 2,50; 3,00; 3,50 (8)"
22,"Наибольшая допустимая сила подачи, кгс",
23,Торможение шпинделя,
24,"Максимальное количество реверсов шпинделя, рев/мин",40
25,Привод,
26,Электродвигатель привода главного движения Тип,4АС 80А4С1
27,"Электродвигатель привода главного движения, кВт (об/мин)","1,3 (1300)"
28,"Электродвигатель насоса, кВт (об/мин)","0,12 (2800)"
29,Электронасос охлаждающей жидкости Тип,ПА-22 Э
30,Габарит и масса станка,
31,"Габариты станка (длина ширина высота), мм",870 х 650 х 2225
32,"Масса станка, кг",480
