index,Наименование параметра,24К40АФ4
0,Основные параметры станка,
1,"Класс точности (Н,П,В,А,С)",А
2,"Рабочая поверхность стола, мм",400 х 800
3,"Наибольший диаметр сверления в стали 45, мм",30
4,"Наибольший диаметр растачивания в стали 45, мм",250
5,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",130..630
6,"Расстояние от оси шпинделя до стойки (вылет шпинделя), мм",450
7,"Дискретность задания координат, мм",0001
8,"Точность установки стола, мм","±0,01"
9,"Точность установки шпиндельной бабки, мм","±0,01"
10,"Точность установки межосевых расстояний, мм","±0,01"
11,"Цена деления устройств для отсчета перемещений стола, салазок, шпиндельной бабки, мм",0001
12,Рабочий стол и салазки,
13,"Наибольшая масса обрабатываемого изделия с учетом сил резания, кг",800
14,"Наибольшее перемещение стола (поперечное X), салазок (продольное Y) и шпиндельной бабки (вертикальное Z), мм",640 х 400 х 500
15,Число Т- образных пазов на столе,5
16,"Величина ускоренного перемещения стола и шпиндельной бабки, мм/мин",6000
17,"Пределы рабочих подач (скорость) при фрезеровании по ося X,Y,Z (бесступенчатое), мм/мин",1..6000
18,Шпиндель. Шпиндельная бабка,
19,"Частота вращения шпинделя (б/с регулирование), об/мин",63..3150
20,Количество ступеней (частот) вращения шпинделя,55
21,Внутренний конус шпинделя,40(7:24)
22,Наибольший конус закрепляемого инструмента,Морзе 4
23,"Наибольшее усилие подач по координате Z (вертикальное), Н",4000
24,"Наибольший крутящий момент на шпинделе, Нм",210
25,Устройство смены инструмента,
26,Количество гнезд в инструментальном магазине,30
27,"Время смены инструмента ""от реза до реза"", с",10..12
28,"Наибольшая масса оправки инструмента, кг",10
29,"Наибольший диаметр инструмента без пропуска гнезд / с пропуском гнезд, мм",85/ 160
30,"Наибольшая длина инструмента, мм",250
31,Привод,
32,Количество электродвигателей на станке,8
33,"Электродвигатель привода главного движения, кВт",42
34,"Электродвигатель привода перемещения шпиндельной коробки, кВт",11
35,"Электродвигатель привода перемещения стола, кВт",11
36,"Электродвигатель привода салазок, кВт",01
37,"Электродвигатель гидростанции, кВт",075
38,"Электродвигатель вентилятора гидростанции, кВт",012
39,"Электродвигатель насоса охлаждающей жидкости, кВт",012
40,"Электродвигатель вентилятора двигателя главного движения, кВт",012
41,"Суммарная мощность всех электродвигателей, кВт",861
42,Габарит станка,
43,"Габариты станка, включая ход стола и салазок (длина х ширина х высота), мм",2515 х 2466 х 3060
44,"Масса станка, кг",6885
