index,Наименование параметра,2А622Ф2-1
0,Основные параметры станка,
1,"Диаметр выдвижного расточного шпинделя, мм",110
2,"Наибольший рекомендуемый диаметр расточки шпинделем, мм",320
3,"Наибольший диаметр расточки суппортом планшайбы, мм",-
4,"Точность установки координат, мм","±0,025"
5,"Точность установки поворотного стола через 90°, сек",3
6,"Наибольший диаметр сверла (по конусу), мм",
7,"Устройство индикации (УЦИ, УЧПУ)",2П62-3И
8,Стол,
9,"Рабочая поверхность стола по ГОСТ 6569-70, мм",1120 х 1250
10,"Наибольшая масса обрабатываемого изделия, кг",4000
11,"Наибольшее перемещение стола (продольное по оси W, поперечное по оси Х), мм",1000 х 1250
12,"Пределы рабочих подач стола (по осям X, W), мм/мин",125...1250
13,"Наибольшее усилие подачи стола (по осям X, W), кгс",
14,"Деление шкалы лимба перемещения стола, мм",0025
15,"Деление шкалы лимба поворота стола, град","0,5°"
16,Выключающие упоры,есть
17,"Скорость быстрых продольных перемещений (по оси W), м/мин",60
18,"Скорость быстрых поперечных перемещений (по оси Х), м/мин",50
19,"Скорость быстрых установочных круговых перемещений (ось B), об/мин",
20,Шпиндель,
21,"Конец выдвижного шпинделя по ГОСТ 2701-72, мм",50
22,"Наибольшее горизонтальное (осевое) перемещение выдвижного шпинделя (по оси Z), мм",710
23,"Частота вращения выдвижного шпинделя, об/мин",10..1250
24,Количество скоростей выдвижного шпинделя,23
25,"Пределы рабочих подач выдвижного шпинделя, мм/мин",2..2000
26,"Пределы рабочих подач шпиндельной бабки (по оси Y), мм/мин",125..1250
27,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное), мм",1000
28,"Скорость быстрых перемещений шпиндельной бабки, м/мин",60
29,"Скорость быстрых перемещений шпинделя, м/мин",40
30,"Наибольший крутящий момент на шпинделе, кгс*м",140
31,"Нарезаемая метрическая резьба, мм",1..10
32,"Нарезаемая дюймовая резьба, число ниток на 1""",4..20
33,Привод,
34,Количество электродвигателей на станке,
35,"Электродвигатель привода главного движения Мощность, кВт (об/мин)",11 (1500)
36,"Электродвигатель привода продольной подачи шпинделя и стола продольно, кВт (об/мин)","3,8 (2200)"
37,"Электродвигатель привода подачи стола поперечно и поворота стола, кВт (об/мин)","3,8 (2200)"
38,"Электродвигатель привода гидронасоса, кВт (об/мин)","2,2 (1400)"
39,"Суммарная мощность электродвигателей, кВт",25
40,Габариты и масса станка,
41,"Габариты станка, включая ход стола и салазок, мм",6100 х 3950 х 3200
42,"Масса станка, кг",17500
