index,Наименование параметра,2Д450
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",30
2,"Наибольший диаметр расточки в стали 45, мм",10… 250
3,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",200… 800
4,"Расстояние от оси шпинделя до стойки (вылет шпинделя), мм",710
5,Рабочий стол и салазки,
6,"Рабочая поверхность стола, мм",1120 х 630
7,"Наибольшая масса обрабатываемого изделия, кг",
8,"Наибольшее перемещение стола, мм",1000 х 630
9,Число Т- образных пазов на столе,7
10,"Величина ускоренного перемещения стола, мм/мин",1500
11,"Пределы рабочих подач (скорость) стола при фрезеровании, мм/мин",30… 300
12,Способ отсчета координат и размеров по экрану,оптический
13,"Цена деления растровой сетки установки координат, мм",0001
14,"Точность механизма предварительного набора координат, мм",06
15,Выключающие упоры стола и салазок,имеются
16,Шпиндель. Шпиндельная коробка,
17,"Частота вращения шпинделя (б/с регулирование), об/мин",50… 2000
18,"Наибольшее вертикальное (ход) перемещение шпинделя (ручное, механическое), мм",270
19,"Наибольшее вертикальное перемещение шпиндельной коробки (установочное), мм",330
20,"Пределы рабочих подач на один оборот шпинделя (б/с регулирование), мм",
21,"Пределы рабочих подач шпинделя (б/с регулирование), мм/мин",4… 300
22,Внутренний конус шпинделя,7:24
23,Наибольший конус закрепляемого инструмента,Морзе 4
24,Закрепление шпиндельной коробки на направляющих,ручное
25,Предохранение от перегрузки механизма подач,есть
26,Привод,
27,Количество электродвигателей на станке,6
28,"Электродвигатель привода главного движения, кВт",22
29,"Электродвигатель привода перемещения шпиндельной коробки, кВт",
30,"Электродвигатель привода перемещения стола, кВт",
31,"Электродвигатель привода салазок, кВт",
32,"Электродвигатель привода зажима отжима стола, кВт",нет
33,"Электродвигатель привода зажима отжима салазок, кВт",нет
34,Электронасос охлаждающей жидкости Тип,
35,Габарит станка,
36,"Габариты станка, включая ход стола и салазок (длина х ширина х высота), мм",3305 х 2705 х 2800
37,"Масса станка, кг",7800
