index,Наименование параметра,2Е78П
0,Основные параметры станка по ГОСТ 9520-73,
1,Класс точности станка по ГОСТ 8-82,П
2,"Диаметр растачиваемого отверстия наибольший/ наименьший, мм",200/ 28
3,"Наибольший диаметр сверления в стали 45, мм",15
4,"Наибольшие размеры обрабатываемого изделия, мм",750 х 500 х 450
5,"Наибольшая масса обрабатываемого изделия, кг",200
6,"Наименьшее расстояние от торца шпинделя до стола, мм",25
7,"Точность межцентровых координат продольных/ поперечных, мм","0,03/ 0,025"
8,"Расстояние от оси шпинделя до стойки (вылет шпинделя), мм",320
9,Шпиндельная бабка,
10,"Наибольшее вертикальное перемещение шпиндельной бабки, мм",500
11,"Величина перемещения на один оборот маховика, мм",075
12,"Частота вращения шпинделя, об/мин",26..1200
13,Количество скоростей шпинделя,12
14,"Пределы рабочих подач на один оборот шпинделя, мм",0025..0200
15,Количество подач,4
16,"Скорость быстрого хода, мм/мин",2000
17,Предохранение от перегрузки механизма подач (муфта),имеется
18,Выключающие упоры,имеется
19,Автоматический возврат в исходное положение после окончания расточки,имеется
20,Рабочий стол,
21,"Рабочая поверхность стола, мм",1000 х 500
22,"Наибольшее перемещение стола, мм",800/ 200
23,"Скорость рабочего хода стола в продольном/ поперечном направлении, мм/мин",100/ нет
24,"Перемещение стола станка на один оборот маховика в продольном/ поперечном направлении, мм","4,2/ 2,9"
25,"Величина ускоренного перемещения стола в продольном/ поперечном направлении, мм/мин",2000/ нет
26,Способ отсчета координат при перемещении стола,микроскоп
27,Выключающие упоры механического быстрого хода,имеется
28,Закрепление стола станка модели 2Е78П от перемещений,ручное
29,Привод,
30,Количество электродвигателей на станке,3
31,"Электродвигатель привода главного движения, кВт",22
32,"Электродвигатель привода ускоренного хода шпиндельной бабки, кВт",075
33,"Электродвигатель привода стола, кВт",075
34,Габарит станка,
35,"Габариты станка, включая ход стола (длина х ширина х высота), мм",1750 х 1560 х 2125
36,"Масса станка, кг",2680
