index,Наименование параметра,2Н125Л
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",25
2,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",0..700
3,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",845..1060
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",250
5,Рабочий стол,
6,"Максимальная нагрузка на стол (по центру), кг",
7,"Размеры рабочей поверхности стола, мм",Ø400
8,Число Т-образных пазов Размеры Т-образных пазов,3
9,"Наибольшее вертикальное перемещение стола (ось Z), мм",525
10,"Перемещение стола на один оборот рукоятки, мм",175
11,Шпиндель,
12,"Наибольшее перемещение (установочное) шпиндельной головки, мм",250
13,"Наибольшее перемещение (ход) шпинделя, мм",150
14,"Перемещение шпинделя на одно деление лимба, мм",10
15,"Перемещение шпинделя на один оборот маховичка-рукоятки, мм",
16,"Частота вращения шпинделя, об/мин",90..1400
17,Количество скоростей шпинделя,9
18,"Наибольший допустимый крутящий момент, Нм",88
19,Конус шпинделя,Морзе 3
20,Механика станка,
21,Число ступеней рабочих подач,3
22,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм","0,1; 0,2; 0,3"
23,Управление циклами работы,Ручное
24,"Наибольшая допустимая сила подачи, кН",56
25,Динамическое торможение шпинделя,Есть
26,Привод,
27,"Электродвигатель привода главного движения, кВт",15
28,Электронасос охлаждающей жидкости Тип,ПА-22
29,Габарит станка,
30,"Габариты станка, мм",770 х 786 х 2235
31,"Масса станка, кг",620
