index,Наименование параметра,2С108П
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления в стали 45, мм",8
2,Наименьшее и наибольшее расстояние от торца шпинделя до стола,250
3,"Расстояние от оси шпинделя до направляющих стойки (вылет), мм",190
4,Рабочий стол,
5,"Размеры рабочей поверхности стола, мм",250 х 250
6,Число Т-образных пазов Размеры Т-образных пазов,1
7,Шпиндель,
8,"Наибольшее перемещение шпиндельной головки по колонне, мм",130
9,"Ход гильзы шпинделя, мм",70
10,"Частота вращения шпинделя, об/мин",500..5600
11,Количество скоростей шпинделя,8
12,Конус шпинделя,1АТ7 ГОСТ 25557
13,Привод,
14,"Электродвигатель привода, кВт",037
15,Габарит и масса станка,
16,"Габариты станка (длина ширина высота), мм",750 х 335 х 540
17,"Масса станка, кг",80
