index,Наименование параметра,2С132
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45 по ГОСТ 1050-88, мм",32
2,"Диаметр нарезания резьбы в стали 45 по ГОСТ 1050-88, мм",М3...М33
3,"Наибольшая высота заготовки, мм",800
4,Рабочий стол,
5,"Максимальная нагрузка на стол (по центру), кг",600
6,"Размеры рабочей поверхности подъемного стола, мм",500 х 500
7,"Наибольший ход подъемного стола (ось Z), мм",300
8,"Размеры рабочей поверхности крестового стола, мм",-
9,"Наибольший ход крестового стола (X, Y), мм",-
10,Число Т-образных пазов Размеры Т-образных пазов,3
11,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",500...750
12,"Расстояние от оси шпинделя до направляющих стойки, мм",300
13,"Перемещение стола на один оборот рукоятки, мм",
14,Шпиндель,
15,"Наибольшее перемещение (установочное) шпиндельной головки, мм",420
16,"Наибольшее перемещение (ход) шпинделя, мм",250
17,"Перемещение шпинделя на одно деление лимба, мм",1
18,"Перемещение шпинделя на один оборот маховичка-рукоятки, мм",
19,"Частота вращения шпинделя, об/мин",315...140045...200031.5...4000
20,Количество скоростей шпинделя,12
21,"Наибольший допустимый крутящий момент, Нм",400
22,Размер внутреннего конуса шпинделя по ГОСТ 25557-82,Морзе 4
23,Механика станка,
24,Число ступеней рабочих подач,9
25,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм",01...16
26,Управление циклами работы,Ручное
27,"Наибольшая допустимая сила подачи (осевое усилие на шпинделе)), Н",1500
28,Динамическое торможение шпинделя,Есть
29,Привод,
30,Количество электродвигателей на станке,2
31,"Электродвигатель привода главного движения, кВт",4
32,"Электродвигатель автоматического цикла шпинделя, кВт",-
33,"Электродвигатель насоса охлаждающей жидкости, кВт",012
34,"Суммарная мощность электродвигателей, установленных на станке кВт",412
35,Габариты и масса станка,
36,"Габариты станка (длина ширина высота), мм",1050 х 850 х 3000
37,"Масса станка, кг",1400
