index,Наименование параметра,2СС1М
0,Основные параметры станка,
1,"Наибольший диаметр сверления, мм",6
2,"Наибольший диаметр рассверливания, мм",13
3,Наименьшее и наибольшее расстояние от торца шпинделя до стола (основания),0..370
4,Наименьшее и наибольшее расстояние от торца шпинделя до стола,0..250
5,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",150
6,Рабочий стол,
7,"Ширина рабочей поверхности стола (основания), мм",200 х 200
8,"Ширина рабочей поверхности стола, мм",200 х 200
9,"Угол поворота рабочего стола, град",360°
10,Число Т-образных пазов,1
11,Шпиндель,
12,"Наибольшее перемещение шпиндельной головки, мм",
13,"Ход гильзы шпинделя, мм",70
14,"Частота вращения шпинделя, об/мин","600, 1000, 1600"
15,Количество скоростей шпинделя,3
16,Конус шпинделя,Морзе В16
17,Привод,
18,"Электродвигатель привода главного движения, кВт (об/мин)","0,18 (1420)"
19,Габарит и масса станка,
20,"Габариты станка (длина ширина высота), мм",600 х 240 х 700
21,"Масса станка, кг",53
