index,Наименование параметра,3А64Д
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр устанавливаемого изделия, мм",250
3,"Наибольшая длина изделия устанавливаемого в центрах, мм",600
4,"Расстояние между осью шлифовального круга и линией центров в горизонтальной плоскости, мм",70..300
5,"Расстояние между осью шлифовального круга и линией центров в вертикальной плоскости, мм",55..150
6,"Высота центров, мм",
7,Рабочий стол станка,
8,"Размеры рабочей поверхности стола по ГОСТ 6569-75 (длина х ширина), мм",140 х 900
9,"Наибольшее продольное/ поперечное ручное перемещение стола, мм",400/ 230
10,"Перемещение поперечное стола на одно деление лимба, мм",001
11,"Перемещение поперечное стола на один оборот лимба, мм",
12,"Перемещение поперечное стола на одно деление тонкой подачи, мм",00025
13,"Угол поворота стола в горизонтальной плоскости, град",±45°
14,Бабка шлифовальная (колонна),
15,"Наибольшее вертикальное перемещение бабки, мм",205
16,"Цена деления лимба подачи вертикального перемещения, мм",0002
17,"Угол поворота бабки в горизонтальной плоскости, град",350°
18,Шлифовальная головка,
19,"Число оборотов заточного круга при ступенчатом регулировании, об/мин","2240, 3150, 4500, 6300"
20,Конец шлифовального шпинделя,Морзе 3
21,"Наибольший диаметр устанавливаемого шлифовального круга, мм",175
22,"Наибольшая ширина шлифовального круга, мм",
23,"Наибольшая высота чашечного шлифовального круга, мм",
24,Электрооборудование и привод станка,
25,Количество электродвигателей на станке,4
26,"Электродвигатель привода шпинделя шлифовальных кругов, кВт (об/мин)","0,75; 1,0"
27,"Электродвигатель привода изделия, кВт",025
28,"Электродвигатель насоса охлаждения, кВт",0125
29,"Электродвигатель пылесоса, кВт",06
30,"Общая установленная мощность всех электродвигателей, кВт",
31,род тока питающей сети,"50Гц, 380/220 В"
32,Габариты и масса станка,
33,"Габарит станка, мм",1700 х 1460 х 1605
34,"Масса станка, кг",1100
