index,Наименование параметра,3Д642Е
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольшие размеры обрабатываемых изделий в центрах (длина х диаметр), мм",500 х 250
3,"Высота центров над рабочим столом, мм",125
4,Рабочий стол станка,
5,"Размеры рабочей поверхности стола по ГОСТ 6569-75 (длина х ширина), мм",800 х 140
6,"Наибольшее продольное перемещение стола, мм",400
7,"Угол поворота стола в горизонтальной плоскости, град",±45
8,"Скорость продольного перемещения стола, м/мин","0,2 ... 8"
9,Бабка шлифовальная,
10,"Наибольшее вертикальное перемещение бабки, мм",250
11,"Цена деления лимба подачи вертикального перемещения, мм",0005
12,"Наибольшее поперечное перемещение бабки, мм",230
13,"Цена деления лимба тонкой подачи поперечного перемещения, мм",0001
14,"Угол поворота бабки в горизонтальной плоскости, град",360
15,"Угол поворота бабки в вертикальной плоскости, град",±20
16,Шлифовальная головка,
17,"Число оборотов заточного круга при бесступенчатом регулировании, об/мин",2200...6400
18,"Число оборотов заточного круга при ступенчатом регулировании, об/мин","2240,3150, 4500,6300"
19,Конец шлифовального шпинделя по ГОСТ 2324-77 исполнение 2,Морзе 4
20,Наибольший диаметр устанавливаемого шлифовального круга по ГОСТ 2424-83 типа ПП,200
21,Наибольший диаметр устанавливаемого шлифовального круга по ГОСТ 2424-83 других типов,150
22,Электрооборудование и привод станка,
23,Количество электродвигателей на станке,6
24,"Электродвигатель привода шпинделя, кВт",11
25,"Электродвигатель вертикального перемещения шлифовальной бабки (привод колонны), кВт",018
26,"Электродвигатель привода изделия, кВт/ об/мин","0,25/ 1500"
27,"Электродвигатель гидропривода, кВт/ об/мин","1,1/ 1000"
28,"Электродвигатель насоса охлаждения, кВт",012
29,"Производительность насоса охлаждения, л/мин",22
30,род тока питающей сети,"50Гц, 380/220 В"
31,Габариты и масса станка,
32,"Габарит станка, мм",1715 х 1810 х 1635
33,"Масса станка, кг",1650
