index,Наименование параметра,3Е710В
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольшие размеры обрабатываемых изделий (длина х ширина х высота), мм",250 х 125 х 200
3,"Наибольшая высота обрабатываемых изделий при наибольшем диаметре шлифовального круга, мм",
4,"Наибольшая высота обрабатываемых изделий при наименьшем диаметре шлифовального круга, мм",
5,"Наибольшее расстояние от оси шпинделя до зеркала стола, мм",90..300
6,"Наибольшая масса обрабатываемых изделий, кг",50
7,"Точностные параметры, максимально достигаемые на образце-изделии",
8,"Размер образца-изделия, мм",
9,"плоскостность, мкм",
10,"параллельность, мкм",
11,"шероховатость поверхности, обработанной периферией шлифовального круга, Ra",
12,"Перпендикулярность траектории поперечного перемещения стола к направлению его продольного перемещения, мкм",
13,Рабочий стол станка,
14,"Размеры рабочей поверхности стола (длина х ширина), мм",250 х 125
15,"Наибольшее ручное / автоматическое продольное перемещение стола, мм",320 / 300
16,"Скорость продольного перемещения стола (бесступенчатое регулирование), м/мин",2..25
17,"Перемещение стола за один оборот маховика механизма продольного перемещения, мм",4
18,Суппорт стола. Механизм поперечной подачи стола,
19,"Наибольшее ручное поперечное перемещение стола/ автоматическое, мм",
20,"Цена деления лимба маховика поперечного перемещения, мм",005
21,"Цена деления лимба микрометрической подачи поперечного перемещения, мм",0001
22,"Автоматическая поперечная подача на каждый ход стола (бесступенчатое регулирование), мм",
23,"Ускоренное перемещение крестового суппорта стола, м/мин",
24,Шлифовальная головка. Шлифовальный круг,
25,"Наибольшее вертикальное перемещение шлифовальной головки при новом круге, мм",200
26,"Ускоренное вертикальное перемещение шлифовальной головки, м/мин",03
27,"Размеры шлифовального круга (диаметр наименьший..наибольший х диаметр посадочного отверстия х высота), мм",110..200 х 32 х 25
28,"Диаметр конца шлифовального шпинделя, мм",25
29,Число оборотов шлифовального круга в минуту,3340
30,"Наибольшая скорость резания, м/с",35
31,"Цена деления лимба маховика вертикального перемещения, мм",
32,"Цена деления лимба тонкой вертикальной подачи, мм",00005
33,"Автоматическая подача вертикального перемещения (ступенчатая с шагом 0,005), мм",
34,"Автоматическая подача вертикального перемещения (ступенчатая с шагом 0,002), мм",
35,Электрооборудование и привод станка,
36,Количество электродвигателей на станке,5
37,"Электродвигатель привода шпинделя шлифовального круга, кВт",15
38,"Электродвигатель гидропривода стола, кВт",075
39,"Электродвигатель вентилятора охлаждения масла в гидростанции, кВт",-
40,"Электродвигатель привода поперечной подачи, кВт",-
41,"Электродвигатель ускоренного перемещения шлифовальной головки, кВт/ об/мин",018
42,"Электродвигатель насоса охлаждения, кВт/ об/мин",012
43,"Электродвигатель магнитного сепаратора в комплекте с агрегатом, кВт",009
44,"Общая установленная мощность всех электродвигателей, кВт",264
45,род тока питающей сети,"50Гц, 380 В"
46,Габариты и масса станка,
47,"Габарит станка (длина х ширина х высота), мм",1150 х 1145 х 1585
48,"Масса станка, кг",1000
