index,Наименование параметра,3Е756Л
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольшие размеры обрабатываемых изделий (диаметр х высота), мм",1000 х 480
3,"Наименьшие размеры обрабатываемой заготовки круглого сечения, (диаметр х высота), мм",40 х 5
4,"Необрабатываемый внутренний диаметр заготовки наибольшего диаметра, мм","(100)+0,8"
5,"Наибольшее расстояние от основания станка до рабочей поверхности стола, мм",1060
6,"Плоскость обработанных поверхностей, мкм",14
7,"Параллельность верхней обработанной поверхности основанию, мкм",14
8,"Шероховатость обработанной поверхности, Ra, мкм",1
9,"Наибольшая масса обрабатываемых изделий, кг",400
10,Рабочий стол станка,
11,"Диаметр магнитного стола, мм",1000
12,"Диаметр электромагнитного стола, мм",110
13,"Частота вращения стола (6 ступеней), об/мин",5...30
14,"Продольное перемещение стола, мм",555
15,"Скорость продольного движения стола, м/мин",32
16,"Мощность электромагнитной плиты, Вт",814
17,Шлифовальная бабка,
18,"Наибольшие размеры шлифовального круга по ГОСТ 2424-83, мм",500х100х400
19,Число оборотов шлифовального круга в минуту,985
20,"Конец шпинделя шлифовальной бабки по ГОСТ 2323-76 (наибольший диаметр), мм",100
21,"Наибольшее вертикальное перемещение шлифовальной бабки, мм",510
22,"Цена деления лимба вертикального перемещения шлифовальной бабки, мм",0005
23,"Вертикальное перемещение шлифовальной бабки на один оборот лимба, мм",025
24,"Вертикальные подачи шлифовальной бабки, мм/мин",005...30
25,"Скорость вертикального ускоренного перемещения, м/мин",026
26,"Скорость замедленного подвода шлифовальной бабки, мм/мин",12..16
27,Привод и электрооборудование станка,
28,род тока питающей сети,"50Гц, 380 В"
29,Количество электродвигателей на станке,7
30,"Электродвигатель шпинделя шлифовальной бабки, кВт",37/ 55
31,"Электродвигатель привода вращения стола, кВт",22
32,"Электродвигатель привода подач, кВт",13
33,"Электродвигатель насоса системы смазки, кВт",009
34,"Электродвигатель насоса системы охлаждения, кВт",06
35,"Электродвигатель магнитного сепаратора, кВт",012
36,"Общая установленная мощность всех электродвигателей, кВт","42,81/ 60,81"
37,Габариты и масса станка,
38,"Габарит станка, мм",4425 х 2525 х 3405
39,"Масса станка, кг",6200
