index,Наименование параметра,4Г721М
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Размеры рабочей поверхности стола, мм",200 х 360
3,Количество Т-образных пазов ГОСТ 6569—75,3
4,"Ширина зажимных Т-образных пазов по ГОСТ 1574—75, мм",12
5,"Расстояние между Т-образными пазами по ГОСТ 6569—75, мм",63
6,"Наибольший ход головки (поперечный х продольный х вертикальный), мм",160 х 250 х 100
7,"Расстояние от торца шпинделя вибратора до рабочей поверхности стола, мм",190..330
8,"Точность установки по осям X и У, мм",001
9,"Наибольшие размеры устанавливаемой на столе детали (длина х ширина х высота), мм",320 х 190 х 130
10,"Наибольшая масса устанавливаемой детали, кг",60
11,"Номинальная площидь обработки, мм2",1500
12,"Вместимость ванны стола, л",70
13,"Минимальный диаметр обработки (при глубине обработки не более 5 мм), мм",06
14,Материал электрода-инструмента,медьлатуньграфит
15,"Наибольшая масса электрода-инструмента, кг",5
16,"Наибольшая производительность медным электродом по стали 45, мм3/мин",250
17,"Наименьшая шероховатость медным электродом по стали 45, мкм",125..080
18,"Наибольшая производительность латунным электродом по твердому сплаву ВК8, мм3/мин",40
19,"Наименьшая шероховатость латунным электродом по твердому сплаву ВК8, мкм",125..040
20,Электрооборудование. Привод,
21,"Питающая электросеть, В",380±38
22,Источник импульсов тока широкодиапазонный генератор импульсов,ШГИ40-44ОБ
23,"Номинальная сила тока генератора, А",40
24,"Максимальная потребляемая мощность, кВт",4
25,"Цепь управления, В",~110
26,"Цепь местного освещения, В",~24
27,Количество электродвигателей на станке,5
28,"Электродвигатель привода салазок, кВт (об/мин)","0,013 (3600..4200)"
29,"Электродвигатель привода шпинделя, кВт (об/мин)","0,024 (3600..4600)"
30,"Электродвигатель натяжения проволоки, кВт","0,0095 (1850)"
31,"Электродвигатель вращения шпинделя, кВт","=0,055 (3600..4600)"
32,"Электродвигатель насоса диэлектрической жидкости, кВт","0,27 (1400)"
33,"Суммарная мощность установленных электродвигателей и источника импульсов тока, кВт",0326
34,Габариты и масса станка,
35,"Габариты станка (длина ширина высота), мм",760 х 865 х 1630
36,"Масса станка (без генераторв), кг",600
