index,Наименование параметра,53В30П
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8-82 и ГОСТ 659-78,П
2,"Наибольший модуль нарезаемого колеса, мм",6
3,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (0°) с задней стойкой (с контрподдержкой), мм",320
4,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (30°), мм",
5,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (45°), мм",
6,"Наибольшая длина зуба нарезаемых цилиндрических прямозубых колес (0°), мм",220
7,"Наибольшая длина зуба нарезаемых цилиндрических прямозубых колес (30°), мм",
8,"Наибольшая длина зуба нарезаемых цилиндрических косозубых колес (45°), мм",
9,"Наибольшая длина зуба нарезаемых цилиндрических косозубых колес (60°), мм",
10,"Наибольший угол наклона нарезаемых зубьев, град",60°
11,Наименьшее число нарезаемых зубьев,
12,Стол,
13,"Диаметр стола, мм",250
14,"Расстояние между осями стола и фрезы, мм",30..250
15,"Расстояние от плоскости стола и оси фрезы, мм",160..410
16,"Ускоренное перемещение стола, мм/мин",есть
17,"Ручное перемещение стола за один оборот лимба, мм",
18,"Наибольшая длина горизонтального перемещения стола (шпинделя изделия), мм",220
19,Суппорт фрезерный,
20,"Наибольшее вертикальное перемещение фрезерного суппорта, мм",250
21,"Ускоренное перемещение каретки суппорта, мм/мин",
22,"Наибольший диаметр режущего инструмента (червячной фрезы), мм",160
23,"Наибольшая длина режущего инструмента (червячной фрезы), мм",160
24,"Диаметры фрезерных оправок, мм",
25,"Ускоренное перемещение шпинделя вдоль оси, мм/мин",
26,"Расстояние от оси шпинделя до торца стола, мм",160..410
27,"Поворот суппорта на одно деление шкалы линейки, град",
28,"Поворот суппорта на одно деление шкалы нониуса, мин",
29,Конусное отверстие шпинделя (по ГОСТ 25557-82),Морзе 5 АТ7
30,"Наибольшее осевое перемещение фрезы (каретки тангенциального суппорта вдоль оси фрезы), мм",100
31,"Наибольшая величина вертикального перемещения суппорта при угле наклона 0°, мм",250
32,"Наибольший угол поворота суппорта (наклона зубьев, обрабатываемых колес), град",±60
33,"Скорость перемещения ползушки (салазок суппорта), мм/мин",
34,Автоматический возврат инструмента,есть
35,Предохранитель от перегрузки,есть
36,Механика станка,
37,"Пределы оборотов фрезы, об/мин",50..500
38,Число ступеней оборотов фрезы,
39,"Пределы продольных (вертикальных) подач, мм/об",063..73
40,"Пределы радиальных подач, мм/об","1,0..16,0 б/с"
41,"Пределы тангенциальных (осевых) подач, мм/об",026..23
42,Число ступеней подач,
43,Привод и электрооборудование станка,
44,"Количество электродвигателей, установленных на станке",
45,"Электродвигатель главного привода, кВт","3,2/ 4,2/ 7,5"
46,"Электродвигатель быстрых перемещений, кВт",
47,"Электродвигатель привода гидронасоса, кВт",
48,"Электродвигатель насоса охлаждения, кВт",
49,"Электродвигатель насоса смазки, кВт",
50,"Электродвигатель транспортера стружки, кВт",
51,"Суммарная мощность электродвигателей, кВт",
52,Габаритные размеры и масса станка,
53,"Габаритные размеры станка (длина х ширина х высота), мм",2300 х 1300 х 1950
54,"Масса станка с электрооборудованием и охлаждением, кг",5100
