index,Наименование параметра,5Б63
0,Основные параметры станка,
1,"Наибольший диаметр обрабатываемой детали над станиной, мм",450
2,"Наибольшее расстояние между торцами шпинделей, мм",400
3,"Наибольшая длина заготовки, устанавливаемой в центрах мм",-
4,"Наибольшая длина нарезаемой резьбы при работе охватывающей резьбовой фрезой, мм",30
5,"Наибольшая длина нарезаемой резьбы приработе гребенчатой резьбовой фрезой (по ГОСТ 1336-77), мм",50
6,"Наибольший шаг нарезаемой резьбы (винтовой канавки), мм",5
7,"Расстояние от от основания станка до оси шпинделя, мм",1060
8,Количество скоростей вращения шпинделя изделия,18
9,"Частота вращения шпинделя изделия, об/мин",0315..16
10,Количество скоростей вращения шпинделя фрезерной головки,13
11,"Частота вращения шпинделя фрезерной головки, об/мин",160..2500
12,Фрезерный шпиндель: размер конического отверстия по ГОСТ 836-72,50
13,Фрезерный шпиндель: размер конического отверстия по ГОСТ 25557-82,-
14,"Шпиндель бабки изделия: конец шпинделя по ГОСТ 12595-72, условный размер",6
15,"Диаметр отверстия в шпинделе бабки изделия, мм",70
16,"Наибольший крутящий момент шпинделя фрезерной головки, Н.м",95
17,"Наибольший продольный ход фрезерной каретки, мм",355
18,"Поперечный ход салазок фрезерной головки - механический, мм",2..5
19,"Поперечный ход салазок фрезерной головки - от руки, мм",122
20,"Скорость ускоренного продольного перемещения фрезерной каретки, м/мин",4
21,"Скорость продольного перемещения фрезерной каретки, м/мин",02
22,Привод и электрооборудование станка,
23,"Количество электродвигателей, установленных на станке",4
24,"Электродвигатель вращения фрезы (главный привод), кВт (об/мин)","3,0 (1425)"
25,"Электродвигатель вращения изделия, кВт (об/мин)","1,5 (1400)"
26,"Электродвигатель перемещения каретки, кВт (об/мин)","1,1 (1400)"
27,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,15 (2800)"
28,"Суммарная мощность всех электродвигателей, кВт",575
29,Габаритные размеры и масса станка,
30,"Габаритные размеры станка (длина х ширина х высота), мм",1250 х 1180 х 1320
31,"Масса станка с электрооборудованием и охлаждением, кг",2585
