index,Наименование параметра,5В12
0,Основные параметры станка,
1,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес с углом наклона зубьев до 23°, мм",12..208
2,"Наибольший диаметр нарезаемых цилиндрических косозубых колес с углом наклона зубьев 30°,45°, мм",
3,"Наибольший диаметр нарезаемых колес с внутренним зацеплением, мм",220
4,"Наибольший модуль нарезаемого колеса, мм",1..4
5,"Наибольшая длина зуба наружного зацепления (длина нарезки), мм",50
6,"Наибольшая длина зуба (длина нарезки) внутреннего зацепления, мм",30
7,"Наибольший угол наклона зуба, град",45°
8,Число нарезаемых зубьев,204
9,"Наибольшее расстояние от оси долбяка (шпинделя, штосселя) до оси стола (планшайбы) (А), мм",150
10,"Расстояние от зеркала стола (планшайбы) до торца шпинделя (Н), мм",70..140
11,Суппорт. Штоссель (Шпиндель),
12,"Наибольшее продольное перемещение суппорта, мм",250
13,"Перемещение суппорта на одно деление шкалы для установки на глубину зуба, мм",001
14,"Наибольший ход штосселя долбяка (ползуна), мм",55
15,"Наибольший диаметр устанавливаемого долбяка, мм",75
16,Пределы чисел двойных ходов долбяка в минуту,"200, 315, 425, 600"
17,"Диаметр оправки под долбяк, мм",
18,Конец шпинделя для крепления инструмента,
19,Рабочий стол (планшайба),
20,"Диаметр фланца рабочего стола (планшайбы), мм",160
21,"Диаметр отверстия в шпинделе рабочего стола, мм",65А
22,"Наибольший отход стола от режущей кромки инструмента во время холостого хода, мм",05
23,"Быстрое вращение стола, об/мин",
24,"Цена деления лимба установки межцентрового расстояния, мм",
25,Автоматический подвод,
26,Автоматический останов,
27,Привод и электрооборудование станка,
28,Количество электродвигателей на станке,
29,"Электродвигатель главного привода, кВт (об/мин)","1,7 (950)"
30,"Электродвигатель гидравлики, кВт (об/мин)","0,6 (1410)"
31,"Электродвигатель привода быстрого вращения стола, кВт (об/мин)",
32,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,125 (2800)"
33,"Суммарная мощность электродвигателей, кВт",
34,Габаритные размеры и масса станка,
35,"Габаритные размеры станка (длина х ширина х высота), мм",1320 х 940 х 1820
36,"Масса станка с электрооборудованием и охлаждением, кг",1850
