index,Наименование параметра,6720В
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,В
2,"Размеры горизонтального (углового) стола, мм",200 х 630
3,"Размеры вертикального стола, мм",200 х 500
4,"Максимальная масса обрабатываемой детали, кг",300
5,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",80..450
6,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",22..392
7,"Наибольший вылет оси вертикального шпинделя, мм",
8,"Наибольший продольный ход стола (X), мм",320
9,"Наибольший ход шпиндельной бабки (Y), мм",200
10,"Наибольший вертикальный ход стола (Z), мм",320
11,"Предельные размеры устанавливаемой заготовки на горизонтальном столе (д.ш.в), мм",700 х 200 х 300
12,"Цена деления лимбов, мм",
13,Горизонтальный и вертикальный шпиндели станка,
14,"Частота вращения горизонтального шпинделя, об/мин",40..2240
15,"Частота вращения вертикального шпинделя, об/мин",40..2240
16,Количество скоростей шпинделей,32
17,"Наибольший допустимый крутящий момент на горизонтальном шпинделе, Нм",
18,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",
19,"Наибольшее осевое перемещение вертикального шпинделя, мм",
20,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±90
21,Конус горизонтального и вертикального шпинделей,Морзе 4
22,Стол,
23,"Пределы продольных и вертикальных подач стола (X, Z), мм/мин",10..1000
24,"Ускоренный ход стола, мм/мин",1200
25,Количество подач стола,б/с
26,"Наибольшее усилие подач стола, Н",
27,Шпиндельная бабка,
28,"Пределы подач шпиндельной бабки (Y), мм/мин",10..1000
29,Количество подач шпиндельной бабки,б/с
30,"Наибольшее усилие подач шпиндельной бабки, Н",
31,Электрооборудование и привод станка,
32,"Количество электродвигателей на станке, кВт",6
33,"Электродвигатель главного привода, кВт",15
34,"Электродвигатель привода стола, бабки, суппорта, кВт",055
35,"Электродвигатель зажима инструмента горизонтального и вертикального шпинделей, кВт",0024
36,"Электродвигатель системы смазки, кВт",009
37,"Электродвигатель привода насоса охлаждения, кВт",012
38,"Суммарная мощность электродвигателей, кВт",2098
39,Габарит и масса станка,
40,"Габариты станка (длина х ширина х высота), мм",1530 х 1450 х 1800
41,"Масса станка, кг",1550
