index,Наименование параметра,692М
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-71 и ГОСТ 8-82,Н
2,"Наибольший диаметр устанавливаемой заготовки, мм",
3,"Ширина обрабатываемого паза, мм",4..24
4,"Наибольшая глубина обрабатываемого паза при соблюдении требований ГОСТ 23360—78 (ГОСТ 7257-58, ГОСТ 8788-68), мм",
5,"Наибольшая полная глубина обрабатываемого паза, мм",40
6,"Наибольший диаметр фрезы, устанавливаемой на станке, мм",
7,"Продольное перемещение фрезерной головки, мм",5..300
8,"Наибольшее перемещение гильзы шпинделя от руки, мм",100
9,"Наибольшее перемещение гильзы шпинделя от гидропривода, мм",40
10,"Ускоренное перемещение перемещение гильзы шпинделя от гидропривода, мм",-
11,"Размеры рабочей поверхности стола (длина х ширина), мм",800 х 200
12,Число Т-образных пазов Размеры Т-образных пазов,3
13,"Размеры Т-образного среднего паза, мм",
14,"Размеры Т-образных крайних пазов, мм",
15,"Установочное продольное/ вертикальное/ поперечное перемещение стола вручную, мм",440/ 300/ 160
16,"Поперечное перемещение стола от гидропривода (Величина разбивки обрабатываемого паза при калибровке), мм",-
17,"Поперечное установочное перемещение оси шпинделя от среднего паза стола в обе стороны, мм",
18,"Внутренний конус шпинделя 7:24, по ГОСТ 24644—81 (ГОСТ 15945-70)",КМ3
19,Число ступеней частот вращения шпинделя,12
20,"Частота вращения шпинделя, об/мин",375..3750
21,"Рабочие подачи фрезерной головки - продольная, мм/мин",450..1200
22,"Рабочие подачи фрезерной головки - вертикальная при однопроходном цикле, мм/мин",
23,"Рабочие подачи гильзы шпинделя на врезание - при маятниковом цикле, мм/мин",005..05
24,"Скорость быстрого перемещения гильзы шпинделя (подвод, отвод), мм/мин",
25,Привод,
26,Количество электродвигателей на станке,2
27,"Электродвигатель привода главного движения, кВт (об/мин)","1,1/ 1,6 (950/ 1440)"
28,"Электродвигатель насоса гидравлики, кВт (об/мин)",-
29,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)","0,125 (2800)"
30,"Суммарная мощность электродвигателей, кВт",
31,Габарит и масса станка,
32,"Габариты станка (длина ширина высота), мм",1520 х 1400 х 1750
33,"Масса станка, кг",1250
