index,Наименование параметра,6А75В
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,В
2,"Размеры вертикального стола (основного), мм",200 х 500
3,"Размеры горизонтального (углового) стола, мм",200 х 630
4,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",80..450
5,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",35..405
6,"Наибольший продольный ход стола (X), мм",320
7,"Наибольший вертикальный ход стола (Z), мм",320
8,"Наибольший ход шпиндельной бабки (Y), мм",200
9,"Цена деления лимбов, мм",002
10,Горизонтальный и вертикальный шпиндели станка,
11,"Частота вращения горизонтального шпинделя, об/мин",40..2000
12,"Частота вращения вертикального шпинделя, об/мин",40..2000
13,Количество скоростей шпинделей,Б/с
14,"Наибольший допустимый крутящий момент на горизонтальном шпинделе, Нм",
15,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",
16,"Наибольшее осевое перемещение вертикального шпинделя, мм",60
17,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±90°
18,Конус горизонтального и вертикального шпинделей,Морзе 4
19,Стол,
20,"Пределы продольных и вертикальных подач стола (X, Z), мм/мин",8..400
21,"Ускоренный ход стола, мм/мин",935
22,Количество подач стола,Б/с
23,"Наибольшее усилие подач стола, кН",
24,Шпиндельная бабка,
25,"Пределы поперечных подач шпиндельной бабки (Y), мм/мин",8..400
26,Количество подач шпиндельной бабки,Б/с
27,"Наибольшее усилие подач шпиндельной бабки, Н",
28,Электрооборудование и привод станка,
29,"Количество электродвигателей на станке, кВт",3
30,"Электродвигатель главного привода, кВт (об/мин)","1,5 (1420)"
31,"Электродвигатель привода подач, кВт (об/мин)","0,5 (1410)"
32,"Электродвигатель привода насоса охлаждения, кВт",012
33,"Суммарная мощность электродвигателей, кВт",212
34,Габарит и масса станка,
35,"Габариты станка (длина х ширина х высота), мм",1280 х 1170 х 1750
36,"Масса станка, кг",1431
