index,Наименование параметра,6Б75В
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,В
2,"Размеры вертикального стола (основного), мм",200 х 500
3,"Размеры горизонтального (углового) стола, мм",200 х 630
4,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",80..450
5,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",90..460
6,"Наибольший продольный ход стола (X), мм",320
7,"Наибольший вертикальный ход стола (Z), мм",320
8,"Наибольший ход шпиндельной бабки (Y), мм",200
9,"Цена деления лимбов, мм",001
10,Горизонтальный и вертикальный шпиндели станка,
11,"Частота вращения горизонтального шпинделя, об/мин",40..2240
12,"Частота вращения вертикального шпинделя, об/мин",40..2240
13,Количество скоростей шпинделей,32
14,"Наибольший допустимый крутящий момент на горизонтальном шпинделе, Нм",
15,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",110
16,"Наибольшее осевое перемещение вертикального шпинделя, мм",60
17,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±90°
18,Конус горизонтального и вертикального шпинделей,Морзе 4
19,Стол,
20,"Пределы продольных и вертикальных подач стола (X, Z), мм/мин",10..600
21,"Ускоренный ход стола, мм/мин",1200
22,Количество подач стола,Б/с
23,"Наибольшее усилие подач стола, кН",
24,Шпиндельная бабка,
25,"Пределы поперечных подач шпиндельной бабки (Y), мм/мин",10..600
26,Количество подач шпиндельной бабки,Б/с
27,"Наибольшее усилие подач шпиндельной бабки, Н",
28,Электрооборудование и привод станка,
29,"Количество электродвигателей на станке, кВт",3
30,"Электродвигатель главного привода, кВт (об/мин)","1,5 (1500)"
31,"Электродвигатель привода подач, кВт (об/мин)","0,37 (3000)"
32,"Электродвигатель привода насоса охлаждения, кВт",012
33,"Суммарная мощность электродвигателей, кВт",199
34,Габарит и масса станка,
35,"Габариты станка (длина х ширина х высота), мм",1520 х 1250 х 1695
36,"Масса станка, кг",1452
