index,Наименование параметра,6Г463
0,Основные параметры станка,
1,Масштаб копирования,1:1 ÷ 1:100
2,"Диаметр наибольшей окружности пантографа примасштабе 1:1, мм",210
3,"Размеры рабочей поверхности стола изделия, мм",250 х 500
4,"Размеры рабочей поверхности стола копира, мм",320 х 400
5,"Наибольший продольный ход стола (X), мм",300
6,"Наибольший поперечный ход стола (Y), мм",200
7,"Наибольший вертикальный ход стола (Z), мм",300
8,"Перемещение продольное стола (X) на одно деление лимба, мм",005
9,"Перемещение поперечное стола (Y) на одно деление лимба, мм",005
10,"Перемещение вертикальное стола (Z) на одно деление лимба, мм",0025
11,"Перемещение продольное стола (X) на один оборот лимба, мм",5
12,"Перемещение поперечное стола (Y) на один оборот лимба, мм",5
13,"Перемещение поперечное стола (Z) на один оборот лимба, мм",25
14,"Поворот стола копира, град",360°
15,"Величина микрометрического перемещения шпинделя, мм",1
16,"Цена деления лимба микрометрического перемещения шпинделя, мм",005
17,"Величина хода быстрого подвода шпинделя, мм",5
18,"Величина перемещения шпинделя при работе по контршаблону, мм",10
19,"Частота вращения шпинделя, об/мин",1250..20000
20,Количество скоростей шпинделя,13
21,Электрооборудование и привод станка,
22,Количество электродвигателей на станке,1
23,"Электродвигатель привода главного движения, кВт",025
24,Габаритные размеры и масса станка,
25,"Габаритные размеры (длина х ширина х высота), мм",1120 х 1000 х 1260
26,"Масса станка, кг",260
