index,Наименование параметра,6Е75ПФ1
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Размеры горизонтального (углового) стола, мм",200 х 630
3,"Размеры вертикального стола, мм",200 х 500
4,"Максимальная масса обрабатываемой детали, кг",200
5,"Наибольшие размеры обрабатываемой с одной установки детали (длина х ширина х высота), кг",300 х 230 х 280
6,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",90..390
7,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",0..290
8,"Наибольший вылет оси вертикального шпинделя, мм",
9,"Наибольший продольный ход стола (X), мм",320
10,"Наибольший вертикальный ход стола (Z), мм",290
11,"Наибольший поперечный ход шпиндельной бабки (Y), мм",200
12,"Цена деления лимбов, мм",
13,Горизонтальный и вертикальный шпиндели станка,
14,"Частота вращения горизонтального шпинделя, об/мин",40..2000
15,"Частота вращения вертикального шпинделя, об/мин",40..2000
16,Количество скоростей шпинделей,18
17,"Наибольший допустимый крутящий момент на горизонтальном шпинделе, Нм",
18,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",
19,"Наибольшее осевое перемещение вертикального шпинделя, мм",
20,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±90°
21,Конус горизонтального и вертикального шпинделей,40АТ5
22,Стол,
23,"Пределы продольных и вертикальных подач стола (X, Z), мм/мин",10..1000
24,"Ускоренный ход стола, мм/мин",1800
25,Количество подач стола,Б/с
26,"Наибольшее усилие подач стола, Н",4000
27,Шпиндельная бабка,
28,"Пределы поперечных подач шпиндельной бабки (Y), мм/мин",10..1000
29,Количество подач шпиндельной бабки,Б/с
30,"Наибольшее усилие подач шпиндельной бабки, Н",4000
31,"Ускоренный ход шпиндельной бабки, мм/мин",1800
32,Электрооборудование и привод станка,
33,Количество электродвигателей на станке,4
34,"Электродвигатель главного привода, кВт",15
35,"Электродвигатель привода подач, кВт",11
36,"Электродвигатель насоса гидравлики, кВт",006
37,"Электродвигатель привода насоса охлаждения, кВт",012
38,"Суммарная мощность электродвигателей, кВт",278
39,Габарит и масса станка,
40,"Габариты станка (длина х ширина х высота), мм",1350 х 1400 х 1750
41,"Масса станка, кг",810
