index,Наименование параметра,6Н13
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-71 и ГОСТ 8-82,"Н/П"
2,"Размеры поверхности стола, мм",400 х 1600
3,"Наибольшая масса обрабатываемой детали, кг",
4,"Расстояние от торца шпинделя до стола, мм",30..520
5,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",450
6,Рабочий стол,
7,"Наибольший продольный ход стола от руки (по оси X), мм",900
8,"Наибольший поперечный ход стола от руки (по оси Y), мм",320
9,"Наибольший вертикальный ход стола от руки (по оси Z), мм",420
10,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",
11,"Перемещение стола на один оборот лимба (продольное, поперечное/ вертикальное), мм",
12,"Пределы продольных подач стола (X), мм/мин",235..1180
13,"Пределы поперечных подач стола (Y), мм/мин",156..786
14,"Пределы вертикальных подач стола (Z), мм/мин",785..393
15,Количество подач продольных/ поперечных/ вертикальных,18
16,"Скорость быстрых продольных перемещений стола (по оси X), м/мин",23
17,"Скорость быстрых поперечных перемещений стола (по оси Y), м/мин",1540
18,"Скорость быстрых вертикальных перемещений стола (по оси Z), м/мин",077
19,Шпиндель,
20,"Частота вращения шпинделя, об/мин",30..1500
21,Количество скоростей шпинделя,18
22,"Перемещение пиноли шпинделя, мм",85
23,"Перемещение пиноли шпинделя на одно деление лимба, мм",005
24,Конус фрезерного шпинделя,№3 ГОСТ 836-47
25,"Конец шпинделя ГОСТ 24644-81, ряд 4, исполнение 6",
26,"Отверстие фрезерного шпинделя, мм",29
27,"Диаметр оправок, мм","32, 50"
28,"Диаметр переднего подшипника, мм",100
29,"Поворот шпиндельной головки вправо и влево, град",±45
30,Механика станка,
31,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
32,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",Есть
33,Блокировка раздельного включения подач,Есть
34,Торможение шпинделя,Есть
35,Предохранительная муфта от перегрузок,Есть
36,Автоматическая прерывистая подача,Есть
37,"Электрооборудование, привод",
38,Количество электродвигателей на станке,3
39,"Электродвигатель привода главного движения, кВт",10
40,"Электродвигатель привода подач, кВт",28
41,"Электродвигатель зажима инструмента, кВт",нет
42,"Электродвигатель насоса охлаждающей жидкости, кВт",0125
43,"Суммарная мощность всех электродвигателей, кВт",12925
44,Габарит и масса станка,
45,"Габариты станка (длина ширина высота), мм",2575 х 1870 х 2250
46,"Масса станка, кг",4250
