index,Наименование параметра,6Н80Г
0,Основные параметры станка,
1,"Размеры рабочей поверхности стола, мм",800 х 200
2,"Расстояние от торца шпинделя до поверхности стола, мм",-
3,"Наибольшее расстояние от торца шпинделя до подшипника серьги, мм",440
4,"Расстояние от задней кромки стола до вертикальных направляющих станины (вылет), мм",75..235
5,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",-
6,Шпиндель,
7,"Частота вращения горизонтального шпинделя, об/мин",50..2240
8,"Частота вращения вертикального шпинделя, об/мин",-
9,Количество скоростей горизонтального и вертикального шпинделя,12
10,Количество скоростей шпинделя фрезерной головки,
11,"Перемещение пиноли (гильзы) шпинделя, мм",-
12,"Перемещение пиноли шпинделя на одно деление лимба, мм",-
13,"Угол поворота фрезерной головки в продольной плоскости, град",-
14,"Угол поворота фрезерной головки в поперечной плоскости, град",-
15,Внутренний конус шпинделя главного привода,№ 2
16,Внутренний конус шпинделя фрезерной головки,-
17,Стол. Подачи стола,
18,"Наибольший продольный ход стола (X), мм",500
19,"Наибольший поперечный ход стола (Y), мм",160
20,"Наибольший вертикальный ход стола (Z), мм",300
21,"Пределы поворота стола, град",-
22,"Пределы продольных подач стола (X), мм/мин",25..1120
23,"Пределы поперечных подач стола (Y), мм/мин",18..800
24,"Пределы вертикальных подач стола (Z), мм/мин",9..400
25,"Количество ступеней подач стола (продольных, поперечных, вертикальных)",12
26,"Скорость быстрых перемещений (продольных, поперечных/ вертикальных) X, Y/ Z, м/мин","2,3/ 1,6/ 0,8"
27,"Перемещение стола на одно деление лимба (продольное, поперечное/ вертикальное), мм","0,05/ 0,02"
28,"Перемещение стола на один оборот лимба (продольное, поперечное/ вертикальное), мм",6/ 2
29,"Наибольшее допустимое усиле резания (продольное/ поперечное/ вертикальное), кг",700/ 500/ 500
30,Механика станка,
31,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
32,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",Есть
33,Блокировка раздельного включения подач,Есть
34,Торможение шпинделя,Есть
35,Предохранительная муфта от перегрузок,Есть
36,Электрооборудование и приводы станка,
37,Количество электродвигателей на станке,3
38,"Электродвигатель главного движения 1Д, кВт (об/мин)","3,0 (1430)"
39,"Электродвигатель привода подач 2Д, кВт (об/мин)","0,8 (1360)"
40,"Электродвигатель насоса СОЖ 3Д, кВт (об/мин)","0,12 (2800)"
41,"Электродвигатель фрезерной головки 4Д, кВт (об/мин)",-
42,"Суммарная мощность всех электродвигателей, кВт",
43,Габариты и масса станка,
44,"Габариты станка (длина ширина высота), мм",1360 х 1860 х 1530
45,"Масса станка, кг",1130
