index,Наименование параметра,6П80Г
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",800 х 200
2,"Наибольшие размеры устанавливаемой детали (длина х ширина х высота), мм",
3,"Наибольшие размеры обрабатываемой детали (длина х ширина х высота), мм",
4,"Наибольшая масса обрабатываемой детали, кг",
5,"Расстояние от оси шпинделя до хобота, мм",140
6,"Расстояние от оси шпинделя до поверхности стола, мм",0..300
7,"Расстояние от торца шпинделя до подшипника серьги, мм",441
8,"Расстояние от задней кромки стола до вертикальных направляющих станины (вылет), мм",240
9,"Расстояние от задней кромки стола до торца шпинделя, мм",198
10,Шпиндель горизонтальный,
11,"Частота вращения шпинделя, об/мин",50..2240
12,Количество скоростей шпинделя,12
13,"Наибольший крутящий момент на шпинделе, Н*м",
14,Конец шпинделя ГОСТ 836-72 (ГОСТ 24644),
15,Стол. Подачи стола,
16,"Наибольший продольный ход стола (X), мм",500
17,"Наибольший поперечный ход стола (Y), мм",160
18,"Наибольший вертикальный ход стола (Z), мм",300
19,"Угол поворота стола, град",-
20,"Пределы продольных подач стола (X), мм/мин",224..1000
21,"Пределы поперечных подач стола (Y), мм/мин",16..710
22,"Пределы вертикальных подач стола (Z), мм/мин",8..355
23,"Количество ступеней подач стола (продольных, поперечных, вертикальных)",12
24,"Скорость быстрых перемещений (продольных, поперечных/ вертикальных) X, Y/ Z, м/мин","2,8/ 2,0/ 0,8"
25,"Перемещение стола на одно деление лимба (продольное, поперечное/ вертикальное), мм","0,05/ 0,02"
26,"Перемещение стола на один оборот лимба (продольное, поперечное/ вертикальное), мм",6/ 2
27,"Наибольшее допустимое усиле резания (продольное/ поперечное/ вертикальное), кН",
28,Механика станка,
29,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
30,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",
31,Блокировка раздельного включения подач,
32,Торможение шпинделя,
33,Предохранительная муфта от перегрузок,
34,Автоматическая прерывистая подача,
35,Электрооборудование и приводы станка,
36,Количество электродвигателей на станке,3
37,"Электродвигатель главного движения, кВт",28
38,"Электродвигатель привода подач, кВт",06
39,"Электродвигатель зажима инструмента, кВт",-
40,"Электродвигатель насоса СОЖ, кВт",0125
41,"Суммарная мощность всех электродвигателей, кВт",
42,Габариты и масса станка,
43,"Габариты станка (длина ширина высота), мм",1720 х 1785 х 1575
44,"Масса станка, кг",1350
