index,Наименование параметра,6Р80
0,Основные параметры станка,
1,Класс точности,Н
2,"Размеры рабочей поверхности стола, мм",800 х 200
3,"Расстояние от торца шпинделя до поверхности стола, мм",-
4,"Наибольшее расстояние от торца шпинделя до подшипника серьги, мм",450
5,"Расстояние от задней кромки стола до вертикальных направляющих станины, мм",80..240
6,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",-
7,Шпиндель,
8,"Частота вращения горизонтального шпинделя, об/мин",50..2240
9,"Частота вращения вертикального шпинделя, об/мин",-
10,Количество скоростей горизонтального и вертикального шпинделя,12
11,"Перемещение пиноли (гильзы) шпинделя, мм",-
12,"Перемещение пиноли шпинделя на одно деление лимба, мм",-
13,"Угол поворота фрезерной головки в продольной плоскости, град",-
14,Конец горизонтального шпинделя по ГОСТ 836-72,40
15,Конец вертикального шпинделя по ГОСТ 836-72,40
16,Шпиндель фрезерной головки,
17,"Угол поворота фрезерной головки в поперечной плоскости, град",-
18,Внутренний конус шпинделя фрезерной головки,-
19,"Частота вращения шпинделя фрезерной головки, об/мин",-
20,Количество скоростей шпинделя фрезерной головки,-
21,Стол. Подачи стола,
22,"Наибольший продольный ход стола (X), мм",500
23,"Наибольший поперечный ход стола (Y), мм",160
24,"Наибольший вертикальный ход стола (Z), мм",300
25,"Пределы поворота стола, град",-
26,"Пределы продольных подач стола (X), мм/мин",25..1120
27,"Пределы поперечных подач стола (Y), мм/мин",25..1120
28,"Пределы вертикальных подач стола (Z), мм/мин",125..560
29,"Количество ступеней подач стола (продольных, поперечных, вертикальных)",12
30,"Скорость быстрых перемещений (продольных, поперечных/ вертикальных) X, Y/ Z, м/мин","2,3/ 2,3/ 1,12"
31,"Перемещение стола на одно деление лимба (продольное, поперечное/ вертикальное), мм","0,05/ 0,02"
32,"Перемещение стола на один оборот лимба (продольное, поперечное/ вертикальное), мм",6/ 2
33,"Наибольшее допустимое усиле резания (продольное/ поперечное/ вертикальное), кг",
34,Механика станка,
35,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
36,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",Есть
37,Блокировка раздельного включения подач,Есть
38,Торможение шпинделя,Есть
39,Предохранительная муфта от перегрузок,Есть
40,Электрооборудование и приводы станка,
41,Количество электродвигателей на станке,3
42,"Электродвигатель главного движения ДШ, кВт (об/мин)","3,0 (1430)"
43,"Электродвигатель привода подач ДП, кВт (об/мин)","0,8 (1360)"
44,"Электродвигатель насоса СОЖ ДО, кВт (об/мин)","0,12 (2800)"
45,"Электродвигатель фрезерной головки ДГ, кВт (об/мин)",-
46,"Суммарная мощность всех электродвигателей, кВт",
47,Габариты и масса станка,
48,"Габариты станка (длина ширина высота), мм",1525 х 1875 х 1515
49,"Масса станка, кг",1260
