index,Наименование параметра,6Т83Г
0,Класс точности по ГОСТ 8-82,Н
1,Рабочий стол,
2,"Максимальная нагрузка на стол (по центру), кг",630
3,"Размеры рабочей поверхности стола (длина х ширина), мм",1600 х 400
4,Число Т-образных пазов Размеры Т-образных пазов,3
5,"Наибольшее перемещение стола продольное/ поперечное/ вертикальное механическое, мм",1000/ 400/ 360
6,"Расстояние от оси шпинделя до стола при ручном перемещении, мм",30...390
7,"Расстояние от оси шпинделя до хобота, мм",190
8,"Наибольший угол поворота стола, град",нет
9,"Цена одного деления шкалы поворота стола, град",нет
10,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",005
11,"Перемещение стола на один оборот лимба продольное/ поперечное/ вертикальное, мм",6/ 6/ 2
12,Шпиндель,
13,"Частота вращения шпинделя, об/мин",315...1600
14,Количество скоростей шпинделя,18
15,Механика станка,
16,"Быстрый ход стола продольный/ поперечный/ вертикальный, м/мин","4/ 4/ 1,33"
17,Число ступеней рабочих подач стола,22
18,"Пределы рабочих подач. Продольных и поперечных, мм/мин",125...1600
19,"Пределы рабочих подач. Вертикальных, мм/мин",41...530
20,"Наибольшее усилие резания при продольной/ поперечной/ вертикальной подаче, кН",20/ 12/ 8
21,Выключающие упоры подачи продольных,есть
22,"Выключающие упоры подачи поперечных, вертикальных",нет
23,"Блокировка ручной и механической подачи (продольной, поперечной, вертикальной)",есть
24,Блокировка раздельного включения подачи,есть
25,Автоматическая прерывистая подача Продольная,есть
26,Автоматическая прерывистая подача Поперечная и вертикальная,нет
27,Торможение шпинделя,есть
28,Предохранение от перегрузки (муфта),есть
29,Привод,
30,"Электродвигатель привода главного движения, кВт/ об/мин",11/ 1460
31,"Электродвигатель привода подач, кВт/ об/мин",3/ 1435
32,"Электродвигатель зажима инструмента, кВт/ об/мин","0,25/ 2760"
33,"Электродвигатель насоса охлаждающей жидкости, кВт/ об/мин","0,12/ 2800"
34,Электронасос охлаждающей жидкости Тип,Х14-22М
35,"Производительность насоса СОЖ, л/мин",22
36,"Суммарная мощность всех электродвигателей, кВт",1437
37,Габариты и масса станка,
38,"Габариты станка (длина ширина высота), мм",2579 2252 1770
39,"Масса станка, кг",
