index,Наименование параметра,8В66А
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Диаметр пилы, устанавливаемой на станке по ГОСТ 4047-82, мм",710
3,"Толщина пилы по режущим зубъям, мм",65
4,"Диаметр устанавливаемой заготовки, мм",70..240
5,"Наибольший размер поперечного сечения квадрата по ГОСТ 2591-71, мм",220
6,"Наибольший размер поперечного сечения швеллера по ГОСТ 8240-72, мм",№30
7,"Наибольший размер поперечного сечения двутавра по ГОСТ 8239-72, мм",№30
8,"Наибольший размер поперечного сечения уголка по ГОСТ 8509-72, мм",
9,"Длина отрезаемой заготовки по упору при Ø80..200 в автоматическом цикле, мм",20..400
10,"Длина отрезаемой заготовки при Ø200..280 в простом цикле, мм",400..1500
11,"Наибольшая длина заготовки, мм",5000
12,"Угол отрезки, град",90°
13,"Диаметр шпинделя под круглую пилу, мм",
14,"Диаметр отверстий под поводковые пальцы, мм",
15,"Смещение осей отверстий под поводковые пальцы от номинального расположения, мм, не более",
16,"Расстояние от основания станка до опорной поверхности заготовки, мм",
17,"Наибольшее перемещение бабки пильного диска, мм",360
18,Регулирование подачи бабки пильного диска,
19,"Наибольшая скорость подачи бабки пильного диска, мм/мин",12..500
20,"Наибольшая скорость отвода бабки пильного диска, м/мин",
21,"Частота вращения шпинделя (50 Гц), об/мин (Количество скоростей шпинделя)","3,3..25,5 (6)"
22,"Скорость подачи заготовки, м/мин",
23,"Наибольший крутящий момент, Н/м",
24,Электрооборудование. Привод,
25,Количество электродвигателей на станке автомате,4
26,"Электродвигатель привода главного движения, кВт (об/мин)","7,5 (1460)"
27,"Электродвигатель привода гидронасоса гидростанции, кВт (об/мин)","1,5 (950)"
28,"Электродвигатель привода механизма стружкоудаления, кВт (об/мин)","0,4 (1400)"
29,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,12 (2800)"
30,"Электродвигатель привода вентилятора охлаждения гидростанции, кВт (об/мин)",
31,"Суммарная мощность электродвигателей установленных на станке, кВт",
32,Габариты и масса станка,
33,"Габариты станка (длина ширина высота), мм",2570 х 1600 х 1725
34,"Масса станка, кг",3980
