index,Наименование параметра,95ТС-1
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки над станиной, мм",250
3,"Наибольший диаметр заготовки над суппортом, мм",125
4,"Наибольшая длина заготовки (РМЦ), мм",500
5,"Высота оси центров над плоскими направляющими станины, мм",130
6,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",130
7,Шпидель,
8,"Диаметр сквозного отверстия в шпинделе, мм",25
9,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",24
10,Число ступеней частот прямого вращения шпинделя,21
11,"Частота прямого вращения шпинделя, об/мин",20..2000
12,Число ступеней частот обратного вращения шпинделя,21
13,"Частота обратного вращения шпинделя, об/мин",20..2000
14,"Размер внутреннего конуса в шпинделе, М",Морзе 4
15,Конец шпинделя по ГОСТ 12593-72,4
16,Суппорт. Подачи,
17,"Наибольшая длина хода каретки (наибольшее продольное перемещение суппорта), мм",500
18,"Наибольшее поперечное перемещение суппорта, мм",180
19,"Цена деления лимба продольного перемещения, мм",01
20,"Цена деления лимба поперечного перемещения, мм",002
21,Число ступеней продольных подач,
22,"Пределы рабочих подач продольных, мм/об",001..18
23,Число ступеней поперечных подач,
24,"Пределы рабочих подач поперечных, мм/об",0005..09
25,"Скорость быстрых продольных перемещений суппорта, м/мин",нет
26,"Скорость быстрых поперечных перемещений суппорта, м/мин",нет
27,Количество нарезаемых резьб метрических,
28,"Пределы шагов нарезаемых резьб метрических, мм",02..48
29,Количество нарезаемых резьб дюймовых,
30,Пределы шагов нарезаемых резьб дюймовых,24..05
31,Количество нарезаемых резьб модульных,
32,Пределы шагов нарезаемых резьб модульных,02..30
33,Количество нарезаемых резьб питчевых,нет
34,Пределы шагов нарезаемых резьб питчевых,нет
35,"Наибольшее усилие, допускаемое механизмом подач на резце - продольное, Н",3000
36,"Наибольшее усилие, допускаемое механизмом подач на резце - поперечное, Н",3000
37,Резцовые салазки,
38,"Наибольшая длина перемещения резцовых салазок, мм",120
39,"Перемещение резцовых салазок на одно деление лимба, мм",005
40,"Наибольший угол поворота резцовых салазок, град",±80°
41,"Цена деления шкалы поворота резцовых салазок, град",1°
42,"Наибольшее сечение державки резца, мм",16 х 16
43,"Высота от опорной поверхности резца до оси центров (высота резца), мм",16
44,Число резцов в резцовой головке,4
45,Задняя бабка,
46,"Диаметр пиноли, мм",
47,Конус отверстия пиноли задней бабки по ГОСТ 2847-67,Морзе 3
48,"Наибольшее перемещение пиноли, мм",85
49,"Перемещение пиноли на одно деление лимба, мм",005
50,"Перемещение пиноли на одно линейки, мм",1
51,"Величина поперечного смещения корпуса бабки, мм",±10
52,Электрооборудование,
53,Количество электродвигателей на станке,3
54,"Электродвигатель главного привода, кВт",3
55,"Электродвигатель быстрых перемещений, кВт",нет
56,"Электродвигатель насоса смазки, кВт",008
57,"Электродвигатель насоса охлаждения, кВт",005
58,Насос охлаждения (помпа),ПА-22
59,Габариты и масса станка,
60,"Габариты станка (длина ширина высота), мм",1770_970_1300
61,"Масса станка, кг",1120
