index,Наименование параметра,9М14
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр изделия, обрабатываемого над станиной, мм",630
3,"Наибольший диаметр изделия, обрабатываемого над суппортом, мм",350
4,"Диаметр обрабатываемых труб, мм",30..203
5,"Расстояние между центрами, мм 710",710
6,"Наибольшая длина обработки по копирной линейке с наибольшей конусностью, мм",400
7,"Наибольшая конусность при обработке по копирной линейке, мм",13
8,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",320
9,"Высота центров, мм",315
10,Шпиндель,
11,"Диаметр внутреннего (сквозного) отверстия шпинделя, мм",210
12,Число ступеней частот прямого вращения шпинделя,18
13,"Частота вращения шпинделя в прямом направлении, об/мин",16..500
14,Число ступеней частот обратного вращения шпинделя,9
15,"Частота вращения шпинделя в обратном направлении, об/мин",28..700
16,Торможение шпинделя,Есть
17,Суппорт. Подачи,
18,"Наибольшее перемещение продольной каретки суппорта, мм",570
19,"Наибольшее перемещение поперечной каретки суппорта, мм",400
20,Число ступеней продольных подач,32
21,"Пределы рабочих подач продольных, мм/об",0064..1025
22,Число ступеней поперечных подач,32
23,"Пределы рабочих подач поперечных, мм/об",0026..038
24,"Скорость быстрых перемещений суппорта, продольных, м/мин",36
25,"Скорость быстрых перемещений суппорта, поперечных, м/мин",13
26,Количество нарезаемых резьб метрических,19
27,"Пределы шагов метрических резьб, мм",1..12
28,Количество нарезаемых резьб дюймовых,23
29,"Пределы шагов дюймовых резьб, ниток/дюйм",24..2
30,Количество нарезаемых резьб модульных,-
31,"Пределы шагов модульных резьб, модуль",-
32,Количество нарезаемых резьб питчевых,-
33,Пределы шагов нарезаемых резьб питчевых,-
34,"Цена деления лимба при продольном перемещении, град",1
35,"Цена деления лимба при поперечном перемещении, град",005
36,Резцовые салазки,
37,"Наибольшее перемещение резцовых салазок, мм",220
38,"Перемещение резцовых салазок на одно деление лимба, мм",005
39,"Наибольший угол поворота резцовых салазок, град",±60°
40,"Цена деления шкалы поворота резцовых салазок, град",1
41,"Наибольшее сечение державки резца, мм",
42,"Высота от опорной поверхности резца до оси центров (высота резца), мм",35
43,Число резцов в резцовой головке,4
44,Задняя бабка,
45,"Диаметр пиноли задней бабки, мм",
46,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,
47,"Наибольшее перемещение пиноли, мм",240
48,"Перемещение пиноли на одно деление лимба, мм",
49,"Величина поперечного смещения корпуса бабки, мм",±10
50,Электрооборудование,
51,Количество электродвигателей на станке,3
52,"Электродвигатель главного привода, кВт",15
53,"Электродвигатель быстрых перемещений, кВт",11
54,"Электродвигатель гидростанции, кВт",нет
55,"Электродвигатель насоса охлаждения, кВт",012
56,Насос охлаждения (помпа),ПА-22
57,Габариты и масса станка,
58,"Габариты станка (длина ширина высота), мм",3050 х 1720 х 1350
59,"Масса станка, кг",4350
