index,Наименование параметра,CU-400
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",440
3,"Высота оси центров над плоскими направляющими станины, мм",210
4,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",230
5,"Наибольшая длина заготовки, устанавливаемой в центрах (РМЦ), мм","1000, 15002000"
6,"Ширина направляющих, мм",360
7,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
8,"Наибольший диаметр сверла при сверлении стальных деталей, мм",
9,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",
10,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",
11,Шпиндель,
12,"Диаметр отверстия в шпинделе, мм",62
13,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",60
14,"Частота вращения шпинделя в прямом направлении / двухскоростной двигатель, об/мин, (число ступеней)",20..2000(21)
15,Конец шпинделя по ГОСТ 12593-72,
16,Конец шпинделя по ISO702-II/USAS B5.9D1 ISO702-III/DIN 55027,8
17,Коническое отверстие шпинделя по ГОСТ 2847-67,80
18,"Диаметр фланца шпинделя, мм",
19,"Диаметр стандартного патрона, мм",250
20,"Наибольший крутящий момент на шпинделе, Нм",100
21,Суппорт. Подачи,
22,"Наибольшая длина продольного перемещения, мм",
23,"Наибольшая длина поперечного перемещения суппорта, мм",250/ 260
24,"Скорость быстрых продольных перемещений, мм/мин",3800
25,"Скорость быстрых поперечных перемещений, мм/мин",1900
26,"Максимально допустимая скорость перемещений при работе по упорам, мм/мин",
27,"Минимально допустимая скорость перемещения каретки (суппорта), мм/мин",
28,"Цена деления лимба продольного перемещения, мм",
29,"Цена деления лимба поперечного перемещения, мм",
30,"Диапазон продольных подач, мм/об(число подач)","0,04..12(120)"
31,"Диапазон поперечных подач, мм/об (число подач)","0,02..6(60)"
32,"Пределы шагов метрических резьб, мм (число резьб)","0,5..120(64)"
33,"Пределы шагов дюймовых резьб, ниток/дюйм (число резьб)",60..1/4(64)
34,"Пределы шагов модульных резьб, модуль (число резьб)","0,125..30(64)"
35,"Пределы шагов питчевых резьб, питч диаметральный (число резьб)",240..1(64)
36,"Наибольшее усилие, допускаемое механизмом подач на резце - продольное, Н",
37,"Наибольшее усилие, допускаемое механизмом подач на резце - поперечное, Н",
38,Резцовые салазки,
39,"Наибольшее перемещение резцовых салазок, мм",140
40,"Перемещение резцовых салазок на одно деление лимба, мм",
41,"Наибольший угол поворота резцовых салазок, град",±90°
42,"Цена деления шкалы поворота резцовых салазок, град",1°
43,"Наибольшее сечение державки резца, мм",25 х 25
44,"Высота от опорной поверхности резца до оси центров (высота резца), мм",30
45,Число резцов в резцовой головке,4
46,Задняя бабка,
47,"Диаметр пиноли задней бабки, мм",70
48,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,Морзе 5
49,"Наибольшее перемещение пиноли, мм",180
50,"Перемещение пиноли на одно деление лимба, мм",
51,"Величина поперечного смещения корпуса бабки, мм",±10
52,Электрооборудование,
53,"Электродвигатель главного привода односкоростной (двухскоростной), кВт (об/мин)","7,5; 11"
54,"Электродвигатель привода быстрых перемещений, кВт",055
55,"Электродвигатель насоса СОЖ, кВт (об/мин)","0,09 (2780)"
56,Габариты и масса станка,
57,"Габариты станка (длина ширина высота) РМЦ=1000, мм",2435 х 1185 х 1286
58,"Масса станка, кг",2210
