index,Наименование параметра,MINI MILL
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",914 х 305
2,"Расстояние от торца шпинделя до поверхности стола, мм","254/ 355,6"
3,"Расстояние от оси шпинделя до вертикальных направляющих (вылет), мм",
4,"Наибольшее перемещение по осям X, Y, Z, мм",406/ 305/ 254
5,"Наибольшая масса обрабатываемой детали, кг",227
6,Шпиндель,
7,"Наибольшая частота вращения шпинделя, об/мин",6000
8,"Максимальная мощность векторного двигателя шпинделя, кВт",56
9,Конус шпинделя,CT/40 или BT/40
10,"Наибольший крутящий момент, Нм",45 (1200 об/мин)
11,Скорость перемещений и подач,
12,"Скорость быстрых перемещений по осям X, Y, Z, м/мин",152
13,"Пределы рабочих подач по осям X, Y, Z, м/мин",127
14,Устройство смены инструмента,
15,Тип устройства,Карусельное
16,"Емкость магазина, шт",10
17,"Максимальная масса инструмента, кг",54
18,"Время смены инструмента (среднее), с",3
19,"Время смены инструмента (от стружки до стружки), с",38
20,Габаритные размеры и масса станка,
21,"Масса станка, кг",1542
