index,Наименование параметра,MML-01
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",180
2,"Наибольший диаметр заготовки над суппортом, мм",
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",300
4,"Рекомендуемая глубина точения за один проход, мм",01
5,"Максимальная глубина точения за один проход, мм",02
6,"Максимальный размер державки резца, мм",
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",20
9,Конус шпинделя,Морзе 3
10,Число ступеней частот прямого вращения шпинделя,Б/с
11,"Частота прямого вращения шпинделя, об/мин",50..2500
12,"Диаметр токарного патрона, мм",80
13,Суппорт. Подачи,
14,"Наибольшее продольное перемещение каретки суппорта, мм",
15,"Перемещение суппорта продольное на одно деление лимба, мм",0025
16,"Наибольшее поперечное перемещение суппорта, мм",65
17,"Перемещение суппорта поперечное на одно деление лимба, мм",0025
18,"Наибольшее перемещение поворотного суппорта (резцовых салазок), мм",35
19,"Угол поворота резцовых салазок, град",±90°
20,"Пределы продольных рабочих подач суппорта, мм/об",
21,"Пределы шагов нарезаемых резьб метрических, мм","0,5; 0,7; 0,8; 1,0; 1,25; 1,5; 1,75; 2,0; 2,5"
22,Задняя бабка,
23,Конус задней бабки,Морзе 2
24,"Наибольшее перемещение пиноли, мм",
25,Электрооборудование,
26,"Номинальное напряжение питания, В",220 в 50 Гц
27,"Электродвигатель главного привода, кВт",05
28,Габариты и масса станка,
29,"Габариты станка (длина ширина высота), мм",695 х 310 х 305
30,"Масса станка, кг",38
