index,Наименование параметра,SAMAT 400 SV
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",400
3,"Наибольший диаметр заготовки устанавливаемой над суппортом, мм",220
4,"Наибольшая длина заготовки (РМЦ), мм","500, 750, 1000, 1500"
5,Параметры точности,
6,"Постоянство диаметра в поперечном сечении (круглость), мм",0007
7,"Постоянство диаметра в продольном сечении, мм",0012
8,"Прямолинейность торцевой поверхности, мм",001
9,Шероховатость поверхности после чистовой обработки,"Ra 2,5"
10,Шпиндель,
11,"Диаметр сквозного отверстия в шпинделе, мм",45
12,"Наибольший диаметр прутка, мм",44
13,Число ступеней частот прямого вращения шпинделя,Б/с
14,"Частота прямого вращения шпинделя, об/мин",12..2200
15,"Размер внутреннего конуса в шпинделе, М",Конус морзе 6
16,Конец шпинделя по ГОСТ 12593-72,6К
17,Торможение шпинделя,есть
18,"Наибольший крутящий момент на шпинделе, Нм",
19,Суппорт. Подачи,
20,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",185
21,"Наибольшее продольное перемещение суппорта от руки, по валику, по винту, мм","500, 750, 1000, 1500"
22,"Наибольшее поперечное перемещение суппорта от руки, по винту, мм",220
23,"Высота резца, мм",25
24,"Пределы продольных подач, мм/об",005..28
25,"Пределы поперечных подач, мм/об",0025..14
26,"Скорость быстрых перемещений суппорта, продольных, м/мин",4
27,"Скорость быстрых перемещений суппорта, поперечных, м/мин",2
28,"Продольное перемещение на одно деление лимба, мм",1
29,"Продольное перемещение на одно деление нониуса, мм",01
30,"Продольное перемещение на один оборот лимба, мм",100
31,"Поперечное перемещение на одно деление лимба, мм",0025
32,"Поперечное перемещение на один оборот лимба, мм",5
33,"Дискретность ппродольных и поперечных перемещений в ручном режиме, мм",-
34,"Пределы шагов нарезаемых резьб метрических, мм",025..56
35,"Пределы шагов нарезаемых резьб дюймовых, ниток на 1""",112..05
36,Пределы шагов нарезаемых резьб модульных,025..56
37,Пределы шагов нарезаемых резьб питчевых,112..05
38,Предохранитель от перегрузки по приводу главного движения и по приводу подач,есть
39,Блокировка продольных и поперечных подач,есть
40,Выключающие продольные упоры,Есть
41,Верхний суппорт (резцовые салазки),
42,"Наибольшее перемещение, мм",120
43,"Угол поворота резцедержки, град",90°
44,"Цена деления лимба, мм",005
45,"Перемещение на один оборот лимба, мм",3
46,Задняя бабка,
47,"Наибольшее перемещение пиноли, мм",120
48,Размер центра в пиноли,Морзе 5
49,"Поперечное перемещение бабки вперед, мм",±5
50,Электрооборудование станка,
51,"Электродвигатель главного привода, кВт (об/мин)","5,5/ 7,5 (1430)"
52,"Привод ускоренных перемещений, кВт (об/мин)","0,37 (1500)"
53,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,125 (2680)"
54,"Электродвигатель станции смазки, кВт (об/мин)","0,18 (1370)"
55,Габариты и масса станка,
56,"Габариты станка (РМЦ=750 мм), мм",2220 х 1110 х 1505
57,"Масса станка, кг",2040
