index,Наименование параметра,SCHAUBLIN 125
0,Основные параметры станка,
1,Класс точности,
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",270
3,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",
4,"Наибольший диаметр заготовки устанавливаемой над суппортом, мм",120
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",500
6,"Высота центров над плоскими направляющими станины, мм",125
7,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
8,"Диаметр заготовки, устанавливаемой в патроне, мм",
9,"Диаметр заготовки, устанавливаемой в цанге, мм",24
10,"Диаметр заготовки, устанавливаемой в люнете, мм",
11,"Показатели точности обработки образцов: круглость, мкм",
12,"Показатели шероховатости обработки образцов цветных металлов, мкм",
13,"Показатели шероховатости обработки образцов стали, мкм",
14,Коэффициент повышения производительности по сравнению со станком модели 16Б05А,
15,Шпиндель,
16,"Диаметр отверстия в шпинделе, мм",32
17,Центр шпинделя по ГОСТ 13214-67,Морзе 2
18,Конец шпинделя по ГОСТ 12593-72,"Камлок Д 1-3"""
19,Число ступеней частот прямого вращения шпинделя,б/с 2 диапазона
20,"Частота прямого вращения шпинделя от вариатора, об/мин",225..3000
21,"Частота прямого вращения шпинделя с редуктором (версии A2, B2 и C), об/мин",45..3000
22,Торможение шпинделя,есть
23,Суппорт. Подачи,
24,"Наибольшее продольное перемещение суппорта, мм",440
25,"Наибольшее поперечное перемещение суппорта, мм",130
26,"Перемещение суппорта поперечное на одно деление лимба, мм",
27,"Шаг ходового винта, мм",4
28,Количество подач суппорта продольных,
29,Количество подач суппорта поперечных,
30,"Пределы подач суппорта продольных (в скобках - при использовании звена увеличения шага), мм/об",
31,"Пределы подач суппорта поперечных (в скобках - при использовании звена увеличения шага), мм/об",
32,"Пределы подач суппорта продольных и поперечных, мм/мин",4..260
33,"Шаги нарезаемых метрических резьб, мм",
34,"Шаги нарезаемых модульных резьб, мод",
35,"Шаги нарезаемых дюймовых резьб, ниток на дюйм",
36,"Скорость быстрых перемещений, мм/мин",
37,Механизм подач для нарезания резьбы,
38,"Вариант B. Нарезание резьбы сменными колесами. Метрические шаги, мм",025..8
39,"Вариант B. Нарезание резьбы сменными колесами. Дюймовые шаги, витков на дюйм",112..3
40,"Вариант C. Механизм подач для нарезания резьбы универсальный. Метрические шаги, мм (число шагов)","0,25..3,5 (24)"
41,"Вариант C. Механизм подач для нарезания резьбы универсальный. Дюймовые шаги, витков на дюйм (число шагов)",112..6 (72)
42,"Вариант C. Механизм подач для нарезания резьбы универсальный. Специальная резьба сменными колесами, мм",0025..8
43,Резцовые салазки,
44,"Наибольшая длина перемещения резцовых салазок, мм",90
45,"Перемещение резцовых салазок на одно деление лимба, мм",
46,"Наибольший угол поворота резцовых салазок, град",
47,"Цена деления шкалы поворота резцовых салазок, град",
48,"Наибольшее сечение державки резца, мм",12 х 12
49,"Высота от опорной поверхности резца до оси центров (высота резца), мм",
50,Число резцов в резцовой головке,
51,Задняя бабка,
52,"Диаметр пиноли, мм",
53,Конус отверстия пиноли задней бабки по ГОСТ 2847-67,Морзе 2
54,"Наибольшее перемещение пиноли, мм",100
55,"Перемещение пиноли на одно деление лимба, мм",
56,"Перемещение пиноли на одно линейки, мм",
57,"Величина поперечного смещения корпуса бабки, мм",
58,Электрооборудование,
59,"Количество электродвигателей, установленных на станке",3
60,"Электродвигатель главного привода, кВт (об/мин)","0,75/ 2,5 ЛС (500/ 1500)"
61,"Электродвигатель коробки подач, кВт (об/мин)",
62,"Электродвигатель насоса гидростанции, кВт",
63,"Электродвигатель насоса охлаждающей жидкости, кВт",
64,"Суммарная мощность электродвигателей, установленных на станке, кВт",
65,Габариты и масса станка,
66,"Габариты станка (длина ширина высота), мм",1473 х 730 х 1280
67,"Масса станка (A, B, C), кг","(910, 930, 990)"
