index,Наименование параметра,SM-250Е
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",140
2,"Наибольший диаметр заготовки над суппортом, мм",
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",210
4,"Максимальный размер державки резца, мм",
5,Шпиндель,
6,"Диаметр сквозного отверстия в шпинделе, мм",9
7,Конус шпинделя,Мк-II
8,Число ступеней частот прямого вращения шпинделя,Б/с
9,"Частота прямого вращения шпинделя, об/мин",100..2000
10,"Диаметр токарного патрона, мм",80
11,Суппорт. Подачи,
12,"Наибольшее продольное перемещение каретки суппорта, мм",
13,"Перемещение суппорта продольное на одно деление лимба, мм",
14,"Наибольшее поперечное перемещение суппорта, мм",
15,"Перемещение суппорта поперечное на одно деление лимба, мм",
16,"Наибольшее перемещение верхнего поворотного суппорта (резцовых салазок), мм",-
17,"Угол поворота резцовых салазок, град",-
18,"Пределы продольных рабочих подач суппорта, мм/об",
19,"Пределы шагов нарезаемых резьб метрических, мм",05..125
20,"Пределы шагов нарезаемых резьб дюймовых, ниток/дюйм (TPI)",16..24
21,Задняя бабка,
22,Конус задней бабки,Мк-I
23,"Наибольшее перемещение пиноли, мм",
24,Электрооборудование,
25,"Номинальное напряжение питания, В","220 в, 50 Гц"
26,"Электродвигатель главного привода, кВт",015
27,Габариты и масса станка,
28,"Габариты станка (длина ширина высота), мм",540 × 300 × 270
29,"Масса станка, кг",35
