index,Наименование параметра,SM-300E
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",180
2,"Наибольший диаметр заготовки над суппортом, мм",110
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",250
4,"Рекомендуемая глубина точения за один проход, мм",
5,"Максимальная глубина точения за один проход, мм",
6,"Максимальный размер державки резца, мм",
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",20
9,Конус шпинделя,Морзе 3
10,Число ступеней частот прямого вращения шпинделя,Б/с
11,"Частота прямого вращения шпинделя, об/мин",0..2500
12,"Диаметр токарного патрона, мм",
13,Крепление шпинделя,
14,Суппорт. Подачи,
15,"Наибольшее продольное перемещение каретки суппорта, мм",300
16,"Перемещение суппорта продольное на одно деление лимба, мм",0025
17,"Наибольшее поперечное перемещение суппорта, мм",70
18,"Перемещение суппорта поперечное на одно деление лимба, мм",0025
19,"Наибольшее перемещение верхнего поворотного суппорта (резцовых салазок), мм",70
20,"Угол поворота резцовых салазок, град",±90°
21,"Пределы продольных рабочих подач суппорта, мм/об",
22,"Пределы шагов нарезаемых резьб метрических, мм","0,4..2 (10 ступ)"
23,"Пределы шагов нарезаемых резьб дюймовых, ниток/дюйм (TPI)",12..52 (18 ступ)
24,Задняя бабка,
25,Конус задней бабки,Морзе 2
26,"Наибольшее перемещение пиноли, мм",50
27,Электрооборудование,
28,"Номинальное напряжение питания, В","220 в, 50 Гц"
29,"Электродвигатель главного привода, кВт",03
30,Габариты и масса станка,
31,"Габариты станка (длина ширина высота), мм",730 × 330 х 330
32,"Масса станка, кг",40
