index,Наименование параметра,SNA 400
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",400
3,"Высота оси центров над плоскими направляющими станины, мм",190
4,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",210
5,"Наибольшая длина заготовки, устанавливаемой в центрах (РМЦ), мм","750, 1000, 1500, 2000"
6,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
7,"Наибольший диаметр сверла при сверлении стальных деталей, мм",
8,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",
9,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",
10,Шпиндель,
11,"Диаметр отверстия в шпинделе, мм",52
12,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",50
13,"Частота вращения шпинделя в прямом направлении, об/мин","31,5..2500 (М)31,5..2000 (Е)"
14,"Частота вращения шпинделя в обратном направлении, об/мин",
15,Количество прямых скоростей шпинделя,"19 (М), 18 (Е)"
16,Количество обратных скоростей шпинделя,
17,Конец шпинделя по ГОСТ 12593-72,Морзе 6
18,Коническое отверстие шпинделя по ГОСТ 2847-67,
19,"Диаметр фланца шпинделя, мм",
20,"Наибольший крутящий момент на шпинделе, Нм",
21,Коробка подач,
22,"Диапазон продольных подач, мм/об",0024..4224
23,"Диапазон поперечных подач, мм/об",0008..140
24,Количество подач продольных,66
25,Количество подач поперечных,66
26,Количество нарезаемых резьб - метрических,35
27,Количество нарезаемых резьб - модульных,35
28,Количество нарезаемых резьб - дюймовых (Whitworth),37
29,Количество нарезаемых резьб - питчевых,37
30,"Пределы шагов метрических резьб, мм",05..88
31,"Пределы шагов дюймовых резьб, ниток/дюйм (Whitworth)",88..1
32,"Пределы шагов модульных резьб, модуль",05..88
33,"Пределы шагов питчевых резьб, питч диаметральный",88..1
34,Суппорт,
35,"Наибольшая длина продольного перемещения, мм","725, 975, 1475, 1975"
36,"Шаг ходового винта, мм",12
37,"Модуль рейки, мм",25
38,"Наибольшая длина поперечного перемещения, мм",225
39,"Скорость быстрых продольных перемещений, м/мин",4
40,"Скорость быстрых поперечных перемещений, м/мин",126
41,"Максимально допустимая скорость перемещений при работе по упорам, мм/мин",
42,"Минимально допустимая скорость перемещения каретки (суппорта), мм/мин",
43,"Цена деления лимба продольного перемещения, мм",
44,"Ход суппорта за один оборот маховичка, мм",233
45,"Цена деления лимба поперечного перемещения, мм",0025
46,"Наибольшее усилие, допускаемое механизмом подач на резце - продольное, Н",
47,"Наибольшее усилие, допускаемое механизмом подач на резце - поперечное, Н",
48,Резцовые салазки,
49,"Наибольшее перемещение резцовых салазок, мм",130
50,"Перемещение резцовых салазок на одно деление лимба, мм",0025
51,"Наибольший угол поворота резцовых салазок, град",±90°
52,"Цена деления шкалы поворота резцовых салазок, град",
53,"Наибольшее сечение державки резца, мм",25 × 25
54,"Высота от опорной поверхности резца до оси центров (высота резца), мм",25
55,Число резцов в резцовой головке,4
56,Задняя бабка,
57,"Диаметр пиноли задней бабки, мм",65
58,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,Морзе 4
59,"Наибольшее перемещение пиноли, мм",
60,"Перемещение пиноли на одно деление лимба, мм",
61,"Величина поперечного смещения корпуса бабки, мм",±10
62,Электрооборудование,
63,"Электродвигатель главного привода, кВт (об/мин)","7,5/ 6,1 (3000/ 1500)"
64,"Электродвигатель привода быстрых перемещений, кВт (об/мин)","0,55 (1000)"
65,"Электродвигатель насоса СОЖ, кВт (об/мин)","0,15 (3000)"
66,Габариты и масса станка,
67,"Габариты станка (длина ширина высота) РМЦ=1000, мм",2500 х 1120 х 1415
68,"Масса станка, кг",
