index,Наименование параметра,SV18RA
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,
2,"Наибольший диаметр заготовки, обрабатываемой над станиной, мм",380
3,"Наибольший диаметр заготовки, обрабатываемой над суппортом, мм",215
4,"Наибольший диаметр обработки в неподвижном люнете, мм",100
5,"Наибольший диаметр обработки в подвижном люнете, мм",100
6,"Наибольшая длина заготовки, обрабатываемой в центрах (РМЦ), мм","750, 1000, 1250"
7,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",
8,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",300
9,Шпиндель,
10,"Диаметр сквозного отверстия в шпинделе, мм",41
11,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",
12,Число ступеней частот прямого вращения шпинделя,24
13,"Частота вращения шпинделя в прямом направлении, об/мин",14..2800
14,Число ступеней частот обратного вращения шпинделя,24
15,"Частота вращения шпинделя в обратном направлении, об/мин",14..2800
16,Размер внутреннего конуса в шпинделе,Метрический 50
17,Передний конец шпинделя,М68
18,"Диаметр планшайбы, мм",360
19,"Диаметр зажимного патрона, мм",160..250
20,"Диаметр поводкового патрона, мм",220
21,Суппорт. Подачи,
22,"Наибольшее перемещение продольной каретки суппорта, мм",
23,"Наибольшее перемещение поперечной каретки суппорта, мм",
24,Число продольных ступеней подач,
25,"Пределы рабочих подач продольных, мм/об",001..28
26,Число ступеней поперечных подач,
27,"Пределы поперечных рабочих подач, мм/об",0027..0522
28,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
29,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
30,Количество нарезаемых резьб метрических,
31,"Пределы шагов метрических резьб, мм",02..140
32,Количество нарезаемых резьб дюймовых,
33,"Пределы шагов дюймовых резьб, ниток/дюйм",1/5..140
34,Количество нарезаемых резьб модульных,
35,"Пределы шагов модульных резьб, модуль",02..70
36,Количество нарезаемых резьб питчевых,
37,Пределы шагов нарезаемых резьб питчевых,1..224
38,Резцовые салазки,
39,"Наибольшее перемещение резцовых салазок, мм",
40,"Перемещение резцовых салазок на одно деление лимба, мм",
41,"Наибольший угол поворота резцовых салазок, град",±90°
42,"Цена деления шкалы поворота резцовых салазок, град",1°
43,"Наибольшее сечение державки резца, мм",22 х 22
44,"Высота от опорной поверхности резца до оси центров (высота резца), мм",
45,Число резцов в резцовой головке,4
46,Задняя бабка,
47,"Диаметр пиноли задней бабки, мм",
48,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,
49,"Наибольшее перемещение пиноли, мм",120
50,"Перемещение пиноли на одно деление лимба, мм",01
51,"Величина поперечного смещения корпуса бабки, мм",
52,Электрооборудование,
53,Количество электродвигателей на станке,6
54,"Электродвигатель главного привода, кВт",7
55,"Электродвигатель быстрых перемещений, кВт",нет
56,"Электродвигатель гидростанции, кВт",нет
57,"Электродвигатель насоса охлаждения, кВт",0185
58,Насос охлаждения (помпа),
59,Габариты и масса станка,
60,"Габариты станка (длина ширина высота) (РМЦ = 1000), мм",950 х 2720 х 1210
61,"Масса станка (РМЦ = 1000), кг",1850
