index,Наименование параметра,TSA-16
0,Основные параметры станка,
1,Класс точности,Н
2,"Наибольший диаметр заготовки над станиной, мм",160
3,"Наибольший диаметр заготовки над суппортом, мм",62
4,"Высота центров над плоскими направляющими станины, мм",80
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",380
6,"Наибольшая длина заготовки в патроне, мм",
7,"Наибольшая длина обтачивания, мм",
8,"Наибольшая высота держателя резца, мм",
9,"Высота от опорной поверхности резца до линии центров, мм",
10,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
11,Передняя бабка. Шпиндель,
12,"Диаметр сквозного отверстия в шпинделе, мм",17
13,"Наибольший диаметр прутка, мм",
14,Конус Морзе шпинделя,№1
15,Число ступеней частот прямого вращения шпинделя,8
16,"Частота вращения шпинделя, об/мин","92, 148, 224, 335, 368, 592, 890, 1330"
17,Торможение шпинделя,
18,Блокировка рукояток,
19,Суппорт. Подачи,
20,"Наибольшее продольное перемещение суппорта, мм",
21,"Перемещение суппорта продольное на одно деление лимба, мм",
22,"Наибольшее поперечное перемещение суппорта, мм",
23,"Перемещение суппорта поперечное на одно деление лимба, мм",
24,"Наибольшее перемещение резцовых салазок, мм",
25,"Перемещение резцовых салазок на одно деление лимба, мм",
26,"Угол поворота резцовых салазок, град",
27,Число ступеней продольных подач суппорта,9
28,"Пределы продольных рабочих подач суппорта, мм/об",005..3
29,"Пределы рабочих поперечных подач суппорта, мм/об",нет
30,Количество нарезаемых резьб метрических,
31,"Пределы шагов нарезаемых резьб метрических, мм",02..30
32,"Пределы шагов нарезаемых резьб дюймовых, витков на 1""",6..32
33,Пределы шагов нарезаемых резьб модульных,нет
34,Пределы шагов нарезаемых резьб питчевых,нет
35,Задняя бабка,
36,Конус Морзе задней бабки,№1
37,"Наибольшее перемещение пиноли, мм",
38,Электрооборудование,
39,"Электродвигатель главного привода, кВт",037
40,Габариты и масса станка,
41,"Габариты станка (длина ширина высота), мм",1220 х 600
42,"Масса станка, кг",150
