index,Наименование параметра,TВ-7
0,Основные параметры станка,
1,Класс точности,Н
2,"Наибольший диаметр заготовки над станиной, мм",220
3,"Наибольший диаметр заготовки над суппортом, мм",100
4,"Высота центров над плоскими направляющими станины, мм",120
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",330
6,"Наибольшая длина заготовки в патроне, мм",310
7,"Наибольшая длина обтачивания, мм",300
8,"Наибольшая высота держателя резца, мм",16 х 16
9,"Высота от опорной поверхности резца до линии центров, мм",
10,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
11,Передняя бабка. Шпиндель,
12,"Диаметр сквозного отверстия в шпинделе, мм",18
13,"Наибольший диаметр прутка, мм",
14,Конус Морзе шпинделя,№3
15,Число ступеней частот прямого вращения шпинделя,8
16,"Частота вращения шпинделя, об/мин","60,90, 130, 190, 350, 500, 730, 1000"
17,Торможение шпинделя,нет
18,Блокировка рукояток,нет
19,Суппорт. Подачи,
20,"Наибольшее продольное перемещение суппорта, мм",260
21,"Перемещение суппорта продольное на одно деление лимба, мм",025
22,"Наибольшее поперечное перемещение суппорта, мм",
23,"Перемещение суппорта поперечное на одно деление лимба, мм",0025
24,"Наибольшее перемещение резцовых салазок, мм",85
25,"Перемещение резцовых салазок на одно деление лимба, мм",0025
26,"Угол поворота резцовых салазок, град",±40°
27,Число ступеней продольных подач суппорта,6
28,"Пределы продольных рабочих подач суппорта, мм/об","0,1; 0,12; 0,16; 0,20; 0,24; 0,32"
29,"Пределы рабочих поперечных подач суппорта, мм/об",нет
30,Количество нарезаемых резьб метрических,6
31,"Пределы шагов нарезаемых резьб метрических, мм","0,8; 1,0; 1,25; 1,5; 2,0; 2,5"
32,"Пределы шагов нарезаемых резьб дюймовых, витков на 1""",нет
33,Пределы шагов нарезаемых резьб модульных,нет
34,Пределы шагов нарезаемых резьб питчевых,нет
35,Задняя бабка,
36,Конус Морзе задней бабки,№2
37,"Наибольшее перемещение пиноли, мм",65
38,Электрооборудование,
39,"Электродвигатель главного привода, кВт",11
40,Габариты и масса станка,
41,"Габариты станка (длина ширина высота), мм",1050 х 535 х 1200
42,"Масса станка, кг",400
