id,name,group,type,power,efficiency,accuracy,automation,software_control,specialization,weight,weight_class,length,width,height,overall_diameter,city,manufacturer,machine_type,created_at,updated_at
1,11Т16А,1.0,1.0,3.0,0.75,А,Автомат,Нет,Универсальный,1200.0,Средний,1945.0,945,1520.0,Ø 16,Ленинград,ЛЗСА,Токарный продольного точения автомат,2025-05-23 06:57:11.143307,2025-05-23 08:57:53.729739
2,1283,1.0,2.0,22.0,0.75,Н,Полуавтомат,Нет,Универсальный,19900.0,Тяжёлый,3252.0,3065,3942.0,Ø 250,Москва,nan,Токарный восьмишпиндельный вертикальный полуавтомат,2025-05-23 06:57:11.143307,2025-05-23 08:57:53.731709
3,1286-6,1.0,2.0,40.0,0.75,Н,Полуавтомат,Нет,Универсальный,35500.0,Тяжёлый,4790.0,5020,4870.0,Ø 630,Краснодар,nan,Токарный шестишпиндельный вертикальный полуавтомат,2025-05-23 06:57:11.143307,2025-05-23 08:57:53.732700
4,1325Ф30,1.0,3.0,6.0,0.75,П,Автомат,ЧПУ,Универсальный,2600.0,Средний,2550.0,1112,1700.0,Ø 28,Барнаул,nan,Токарный с ЧПУ автомат,2025-05-23 06:57:11.143307,2025-05-23 09:10:11.264372
5,1336М,1.0,3.0,2.8,0.75,Н,Ручной,Нет,Универсальный,1500.0,Средний,2280.0,1000,1280.0,Ø 420,Ижевск,Киев,Токарно-револьверный с горизонтальной осью револьверной головки,2025-05-23 06:57:11.143307,2025-05-23 08:57:53.735414
6,1340,1.0,3.0,7.0,0.75,Н,Ручной,Нет,Универсальный,2400.0,Средний,3250.0,1160,1600.0,Ø 40/ Ø 400,Киев,nan,Токарно-револьверный универсальный,2025-05-23 06:57:11.143307,2025-05-23 08:57:53.736413
7,1341,1.0,3.0,5.5,0.75,Н,Ручной,Нет,Универсальный,2200.0,Средний,3000.0,1200,1600.0,Ø 400,Бердичев,nan,Токарно-револьверный повышенной точности,2025-05-23 06:57:11.143307,2025-05-23 08:57:53.737410
8,1365,1.0,3.0,13.0,0.75,Н,Ручной,Нет,Универсальный,4250.0,Средний,5845.0,1500,1655.0,Ø 85,Алапаевск,nan,Токарно-револьверный универсальный,2025-05-23 06:57:11.143307,2025-05-23 08:57:53.738409
9,1425,1.0,4.0,7.0,0.75,Н,Полуавтомат,Нет,Универсальный,4500.0,Средний,2550.0,1650,2140.0,Ø 250 х 175,Алапаевск,nan,Токарно-револьверный полуавтомат,2025-05-23 06:57:11.143307,2025-05-23 08:57:53.739405
10,1508,1.0,5.0,22.0,0.75,Н,Ручной,Нет,Универсальный,9500.0,Средний,2270.0,2365,3210.0,Ø 800,Краснодар,nan,Токарно-карусельный одностоечный универсальный,2025-05-23 06:57:11.143307,2025-05-23 08:57:53.740403
