index,Наименование параметра,Б16Д25
0,Основные параметры станка согласно ГОСТ 440-81,
1,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",500
2,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",290
3,"Наибольший диаметр заготовки обрабатываемой над выемкой (обозначение Г), мм",700
4,"Наибольшая длина устанавливаемой детали РМЦ, мм","1000, 1500, 2000"
5,"Наибольшая масса обрабатываемого изделия в центрах, кг",
6,Шпиндель,
7,"Диаметр отверстия в шпинделе, мм",63
8,"Инструментальный конус шпинделя, мм",М80
9,"Фланец шпинделя, мм",6М
10,"Мощность привода главного движения, кВт",11
11,"Частота вращения шпинделя, об/мин",85..2000
12,Количество прямых скоростей шпинделя,27
13,"Количество скоростей, переключаемых без остановки шпинделя",9
14,"Наибольший крутящий момент на шпинделе, кН*м",2
15,Суппорт. Подачи,
16,"Высота резца, мм/об",25
17,"Диапазон продольных подач, мм/об",005..107
18,"Диапазон поперечных подач, мм/об",0025..535
19,Количество подач продольных/ поперечных,32/ 32
20,"Скорость быстрых перемещений продольных/ поперечных, м/мин",4/ 2
21,"Количество резьб, мм",
22,"Пределы шагов метрических резьб, мм",05..112
23,"Пределы шагов дюймовых резьб, ниток/дюйм",025..56
24,"Пределы шагов модульных резьб, модуль",05..112
25,"Пределы шагов питчевых резьб, питч диаметральный",56..025
26,Задняя бабка,
27,Центр пиноли задней бабки по ГОСТ 13214-79,М5
28,"Наибольшее перемещение пиноли, мм",150
29,Электрооборудование и привод,
30,Количество электродвигателей на станке,3
31,"Электродвигатель главного движения, кВт",11
32,"Электродвигатель быстрых перемещений, кВт",075
33,"Электродвигатель насоса СОЖ, кВт",0125
34,"Электродвигатель гидростанции, кВт",-
35,Габариты и масса станка (РМЦ = 1000),
36,"Габариты станка (длина ширина высота) (РМЦ = 1000), мм",2880 х 1320 х 1605
37,"Масса станка, кг",2880
