index,Наименование параметра,ВМ501ПМФ4
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,Модель устройства ЧПУ,2Р32
3,Количество управляемых координат,
4,Количество одновременно управляемых координат при линейной/ круговой интерполяции,
5,"Наибольший диаметр сверления в стали 45, мм",12
6,"Наибольший диаметр растачивания, мм",60
7,"Пределы диаметров нарезаемой резьбы, мм",М12
8,"Наибольший диаметр торцевой фрезы, мм",
9,"Наибольшая длина инструмента, устанавливаемого на станке, мм",
10,"Наименьшее и наибольшее расстояние от оси шпинделя до стола, мм",65…305
11,"Расстояние от торца шпинделя до центра стола, мм",90…290
12,"Расстояние от оси шпинделя до оси круглого стола, мм",±125
13,Рабочий стол,
14,"Размеры рабочей поверхности стола, мм",Ø 250
15,"Предельные размеры обрабатываемых поверхности (длина х ширина х высота), мм",
16,"Максимальная нагрузка на стол (по центру), кг",40
17,Число Т-образных пазов Размеры Т-образных пазов,
18,"Наибольшее продольное перемещение стола (X), мм",250
19,"Наибольшее поперечное перемещение стола (Z), мм",200
20,"Наибольшее вертикальное перемещение шпиндельной головки (Y), мм",240
21,"Круговое перемещение стола (B), град",360°
22,"Предел рабочих подач стола и ползуна, мм/мин",
23,"Скорость быстрого перемещения по координатам X, Z, мм/мин",8000
24,"Скорость быстрого перемещения по координате Y, м/мин",8000
25,"Наибольшая частота вращения стола (координата B), об/мин",194
26,"Допустимое усилие подачи по координате X, Y, Z, кН",
27,"Точность позиционирования по координате X, Y, Z, мм",
28,Шпиндель,
29,"Частота вращения шпинделя, об/мин (число ступеней)",45…2000 (12)
30,Количество скоростей шпинделя,12
31,"Номинальный крутящий момент на шпинделе, Нм",
32,Конус шпинделя по ГОСТ 15945-70,
33,Конус шпинделя по ГОСТ 19860-74,40АТ5
34,Магазин инструмента,
35,"Емкость инструментального магазина, шт.",20
36,"Время смены инструмента/ от реза до реза, с",13
37,"Наибольший диаметр инструмента, устанавливаемого в магазине, мм (без пропуска гнезд)",70
38,"Наибольшая длина инструмента, устанавливаемого в шпинделе станка, мм",150
39,"Максимальный диаметр сверла, мм",
40,"Наибольшая масса оправки, устанавливаемой в магазине, кг",
41,Электрооборудование и привод,
42,"Электродвигатель привода главного движения, кВт (об/мин)",22 (1450)
43,"Электродвигатель переключения скоростей шпинделя, кВт",
44,"Электродвигатели привода подач (X, Y, Z) и поворота стола, кВт",
45,"Электродвигатели привода подач (X, Y, Z) и поворота стола, Н.м (кгс.см)","5,2 (53) 4 шт"
46,"Электродвигатели зажима инструмента, кВт",
47,"Электродвигатели зажима стола и шпиндельной головки, кВт",
48,"Электронасос охлаждающей жидкости, кВт",012
49,"Электродвигатель переключения скоростей шпинделя, кВт",07
50,"Электродвигатель вращения магазина, кВт",
51,"Электродвигатель автооператора, кВт",
52,"Электродвигатель перегружателя, кВт",
53,"Электродвигатель насоса смазки, кВт",
54,"Суммарная мощность установленных на станке электродвигателей, кВт",45
55,Габариты и масса станка,
56,"Габариты станка (длина ширина высота), мм",2095 х 3000 х 2320
57,"Масса станка, кг",2400
