index,Наименование параметра,ГС2112
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",12
2,"Наибольший диаметр нарезаемой резьбы в стали 45, мм",
3,"Наибольший условный диаметр торцевого фрезерования в стали 45, мм",
4,Наименьшее и наибольшее расстояние от торца шпинделя до стола,50..400
5,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",190
6,Рабочий стол,
7,"Ширина рабочей поверхности стола, мм",250
8,Число Т-образных пазов Размеры Т-образных пазов,3
9,Продольное и поперечное перемещение стола,-
10,Сверлильно-фрезерная головка. Шпиндель,
11,"Наибольшее перемещение шпиндельной головки (бабки), мм",250
12,"Угол поворота шпиндельной головки (бабки) вокруг горизонтальной оси, град",-
13,"Угол поворота шпиндельной головки (бабки) вокруг колонны, град",-
14,"Ход гильзы шпинделя, мм",100
15,"Цена деления лимба тонкой подачи, мм",-
16,"Частота вращения шпинделя, об/мин",450..4500
17,Количество скоростей шпинделя,5
18,Конус шпинделя,
19,Привод,
20,"Электродвигатель привода главного движения Мощность, кВт",055
21,Габарит и масса станка,
22,"Габариты станка (длина ширина высота), мм",340 х 690 х 960
23,"Масса станка, кг",100
