index,Наименование параметра,ГФ2171С6
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н/П
2,Модель устройства ЧПУ,2С45-65
3,Количество управляемых координат,3
4,Количество одновременно управляемых координат при линейной/ круговой интерполяции,3/2
5,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",250..500
6,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",500
7,"Предельные размеры обрабатываемых поверхности (длина х ширина х высота), мм",950 х 350 х 400
8,"Максимальная нагрузка на стол (по центру), кг",400
9,Рабочий стол,
10,"Размеры рабочей поверхности стола (длина х ширина), мм",1600 х 400
11,Число Т-образных пазов Размеры Т-образных пазов,3
12,"Наибольшее продольное перемещение стола (X), мм",1010
13,"Наибольшее поперечное перемещение стола (Y), мм",400
14,"Наибольшее вертикальное перемещение стола (установочное) (Z), мм",250
15,"Наибольшее перемещение ползуна (Z), мм",260
16,"Предел рабочих подач стола и ползуна, мм/мин",3..6000
17,"Скорость быстрых перемещений стола (X, Y) / ползуна (Z), мм/мин",9000/ 7000
18,"Допустимое усилие подачи по координате X и Y, Н",15690
19,"Допустимое усилие подачи по координате Z, Н",9806
20,"Точность позиционирования, мм",
21,Шпиндель,
22,"Частота вращения шпинделя, об/мин (число ступеней)",50..2500 (12)
23,Количество скоростей шпинделя,18
24,"Наибольший крутящий момент, кНм",0615
25,Коэффициент ряда выходных частот вращения шпинделя,126
26,Эскиз конца шпинделя по ГОСТ 24644-81 7:24,50
27,Магазин инструмента,
28,Емкость магазина инструмента,12
29,"Время смены инструмента, с",20
30,"Максимальный диаметр фрезы торцовой, мм",
31,"Максимальный диаметр фрезы концевой, мм",
32,"Максимальный диаметр сверла, мм",
33,"Максимальный вес инструмента, кг",
34,"Вылет инструмента от торца шпинделя, мм, не более",250
35,Электрооборудование и привод,
36,"Электродвигатель привода главного движения, кВт (об/мин)",11 (1466)
37,"Электродвигатели привода подач HG-112B, HG-112C (оси X, Y), Нм",23
38,"Электродвигатели привода подач ползуна HG-112C (ось Z), Нм",23
39,"Электродвигатель наладочного перемещения консоли, кВт (об/мин)","2,2 (1410)"
40,"Электродвигатель гидростанции, кВт (об/мин)","2,2 (1400)"
41,"Электродвигатель насоса смазки, кВт (об/мин)","0,27 (1400)"
42,"Электронасос охлаждающей жидкости Мощность, кВт","0,12 (2800)"
43,"Производительность насоса СОЖ, л/мин",
44,Тип гидростанции,"10-2, 2Г48-1"
45,Габариты и масса станка,
46,"Габариты станка (длина ширина высота), мм",3660 х 4200 х 2850
47,"Масса станка, кг",6500
